"","CpG_chr","CpG_start","CpG_stop","ICR_chr","ICR_start","ICR_stop","CpG_Probe","ICR_id"
"119","chr2",206251345,206251346,"chr2",206250432,206252905,"cg25535070_BC21","ICR_165"
"120","chr2",206253528,206253529,"chr2",206253063,206254113,"cg20471298_TC21","ICR_166"
"121","chr2",206260294,206260295,"chr2",206258595,206260336,"cg15093040_BC21","ICR_169"
"122","chr2",206260335,206260336,"chr2",206258595,206260336,"cg17133012_TC21","ICR_169"
"123","chr2",206262501,206262502,"chr2",206262499,206263975,"cg25307915_TC21","ICR_171"
"124","chr2",206262639,206262640,"chr2",206262499,206263975,"cg19366042_BC21","ICR_171"
"125","chr2",206264433,206264434,"chr2",206264111,206264458,"cg09448460_BC21","ICR_172"
"126","chr2",218890093,218890094,"chr2",218890038,218890255,"cg14663607_TC21","ICR_177"
"127","chr2",218890117,218890118,"chr2",218890038,218890255,"cg26449951_TC11","ICR_177"
"128","chr2",230849989,230849990,"chr2",230849888,230849990,"cg10817554_TC21","ICR_179"
"129","chr2",232409942,232409943,"chr2",232409724,232409943,"cg16700265_TC21","ICR_181"
"130","chr2",235503389,235503390,"chr2",235503241,235503454,"cg11045331_TC11","ICR_183"
"131","chr2",237156608,237156609,"chr2",237156449,237156745,"cg18339598_BC11","ICR_186"
"132","chr2",241901669,241901670,"chr2",241901655,241902337,"cg27404186_TC11","ICR_187"
"133","chr2",241901669,241901670,"chr2",241901655,241902337,"cg27404186_TC12","ICR_187"
"134","chr2",241902022,241902023,"chr2",241901655,241902337,"cg18896979_TC21","ICR_187"
"135","chr2",241902724,241902725,"chr2",241902452,241902725,"cg11685162_BC21","ICR_188"
"136","chr2",241936520,241936521,"chr2",241936451,241936540,"cg19506677_BC11","ICR_189"
"137","chr2",242088486,242088487,"chr2",242088454,242088503,"cg09328330_TC11","ICR_190"
"138","chr3",14366468,14366469,"chr3",14366358,14366571,"cg18990612_BC21","ICR_194"
"139","chr3",15333026,15333027,"chr3",15333008,15333079,"cg15145672_BC21","ICR_195"
"140","chr3",24303491,24303492,"chr3",24303491,24303789,"cg13593622_BC21","ICR_197"
"141","chr3",28200634,28200635,"chr3",28200465,28200710,"cg22611057_BC11","ICR_198"
"142","chr3",39502834,39502835,"chr3",39502700,39502946,"cg24050474_TC21","ICR_200"
"143","chr3",42936352,42936353,"chr3",42936228,42936568,"cg27084712_BC21","ICR_201"
"144","chr3",42936396,42936397,"chr3",42936228,42936568,"cg11303738_TC21","ICR_201"
"145","chr3",42936403,42936404,"chr3",42936228,42936568,"cg22714811_BC21","ICR_201"
"146","chr3",42936533,42936534,"chr3",42936228,42936568,"cg21104412_BC21","ICR_201"
"147","chr3",46558753,46558754,"chr3",46558603,46558922,"cg24524379_BC11","ICR_203"
"148","chr3",71694474,71694475,"chr3",71694474,71695649,"cg25649781_TC21","ICR_208"
"149","chr3",71695351,71695352,"chr3",71694474,71695649,"cg14855654_BC21","ICR_208"
"150","chr3",72929068,72929069,"chr3",72928977,72929098,"cg16580556_BC21","ICR_209"
"151","chr3",96776806,96776807,"chr3",96776773,96777017,"cg19597498_TC11","ICR_211"
"152","chr3",96776952,96776953,"chr3",96776773,96777017,"cg16506114_BC21","ICR_211"
"153","chr3",105882522,105882523,"chr3",105882522,105882796,"cg23275390_BC21","ICR_212"
"154","chr3",122660814,122660815,"chr3",122660741,122660862,"cg15604389_BC21","ICR_214"
"155","chr3",122660838,122660839,"chr3",122660741,122660862,"cg17380795_BC11","ICR_214"
"156","chr3",122660838,122660839,"chr3",122660741,122660862,"cg17380795_BC12","ICR_214"
"157","chr3",122660861,122660862,"chr3",122660741,122660862,"cg24850323_BC11","ICR_214"
"158","chr3",128653719,128653720,"chr3",128653426,128653781,"cg20076186_BC11","ICR_218"
"159","chr3",132137138,132137139,"chr3",132137119,132137290,"cg08982952_BC11","ICR_220"
"160","chr3",133472425,133472426,"chr3",133472370,133472539,"cg15486454_BC21","ICR_221"
"161","chr3",133783832,133783833,"chr3",133783814,133783983,"cg17952877_TC11","ICR_222"
"162","chr3",147297904,147297905,"chr3",147297675,147298367,"cg12605294_BC21","ICR_227"
"163","chr3",147297904,147297905,"chr3",147297675,147298367,"cg12605294_BC22","ICR_227"
"164","chr3",147298119,147298120,"chr3",147297675,147298367,"cg24353088_TC21","ICR_227"
"165","chr3",156120835,156120836,"chr3",156120780,156120929,"cg23873703_TC21","ICR_229"
"166","chr3",156120835,156120836,"chr3",156120780,156120929,"cg23873703_TC22","ICR_229"
"167","chr3",190965258,190965259,"chr3",190964767,190965274,"cg12750276_TC11","ICR_231"
"168","chr4",1051008,1051009,"chr4",1050913,1051080,"cg27284194_TC21","ICR_238"
"169","chr4",2463595,2463596,"chr4",2463492,2463856,"cg27288240_TC21","ICR_243"
"170","chr4",2463723,2463724,"chr4",2463492,2463856,"cg15717375_TC21","ICR_243"
"171","chr4",3744715,3744716,"chr4",3744715,3744881,"cg21739816_TC21","ICR_245"
"172","chr4",3744715,3744716,"chr4",3744715,3744881,"cg21739816_TC22","ICR_245"
"173","chr4",4669127,4669128,"chr4",4669026,4669135,"cg11688944_BC21","ICR_248"
"174","chr4",6105611,6105612,"chr4",6105592,6105924,"cg22098660_BC21","ICR_250"
"175","chr4",6105905,6105906,"chr4",6105592,6105924,"cg21003654_BC21","ICR_250"
"176","chr4",39406795,39406796,"chr4",39406795,39407320,"cg25064910_BC21","ICR_254"
"177","chr4",39406795,39406796,"chr4",39406795,39407320,"cg25064910_BC22","ICR_254"
"178","chr4",39406797,39406798,"chr4",39406795,39407320,"cg22953731_TC21","ICR_254"
"179","chr4",39406834,39406835,"chr4",39406795,39407320,"cg14278514_TC21","ICR_254"
"180","chr4",39407044,39407045,"chr4",39406795,39407320,"cg21880903_BC21","ICR_254"
"181","chr4",39407090,39407091,"chr4",39406795,39407320,"cg20818807_BC21","ICR_254"
"182","chr4",41876101,41876102,"chr4",41876101,41876861,"cg18779296_BC21","ICR_255"
"183","chr4",41876721,41876722,"chr4",41876101,41876861,"cg23233843_BC21","ICR_255"
"184","chr4",48482770,48482771,"chr4",48482620,48482980,"cg19123916_TC21","ICR_256"
"185","chr4",62816674,62816675,"chr4",62816668,62816883,"cg15371026_BC11","ICR_270"
"186","chr4",73981992,73981993,"chr4",73981862,73981993,"cg21043213_BC21","ICR_271"
"187","chr4",75886389,75886390,"chr4",75886199,75886450,"cg17445155_BC11","ICR_272"
"188","chr4",75886423,75886424,"chr4",75886199,75886450,"cg25936223_BC21","ICR_272"
"189","chr4",81154058,81154059,"chr4",81153934,81154202,"cg09390319_BC11","ICR_273"
"190","chr4",82758991,82758992,"chr4",82758739,82759068,"cg16425726_BC11","ICR_274"
"191","chr4",88697259,88697260,"chr4",88697243,88698085,"cg17635114_BC11","ICR_275"
"192","chr4",88697485,88697486,"chr4",88697243,88698085,"cg12759554_TC21","ICR_275"
"193","chr4",88697709,88697710,"chr4",88697243,88698085,"cg27150681_TC11","ICR_275"
"194","chr4",88697878,88697879,"chr4",88697243,88698085,"cg18607468_BC11","ICR_275"
"195","chr4",88697886,88697887,"chr4",88697243,88698085,"cg11300971_TC11","ICR_275"
"196","chr4",88697886,88697887,"chr4",88697243,88698085,"cg11300971_TC12","ICR_275"
"197","chr4",88697899,88697900,"chr4",88697243,88698085,"cg19151808_BC11","ICR_275"
"198","chr4",88697933,88697934,"chr4",88697243,88698085,"cg13610072_BC21","ICR_275"
"199","chr4",121932809,121932810,"chr4",121932564,121932847,"cg18474934_TC21","ICR_278"
"200","chr4",154781778,154781779,"chr4",154781726,154782004,"cg19340941_TC11","ICR_282"
"201","chr4",184097324,184097325,"chr4",184097250,184097401,"cg17069313_BC11","ICR_287"
"202","chr5",415459,415460,"chr5",415357,415697,"cg08916839_BC11","ICR_298"
"203","chr5",415613,415614,"chr5",415357,415697,"cg24955955_BC21","ICR_298"
"204","chr5",415613,415614,"chr5",415357,415697,"cg24955955_BC22","ICR_298"
"205","chr5",562199,562200,"chr5",562043,562200,"cg16447950_BC11","ICR_299"
"206","chr5",1245786,1245787,"chr5",1245746,1245898,"cg09075844_TC21","ICR_301"
"207","chr5",1295853,1295854,"chr5",1295799,1295873,"cg17166338_TC21","ICR_302"
"208","chr5",1725022,1725023,"chr5",1724999,1725304,"cg15671987_BC11","ICR_303"
"209","chr5",1725022,1725023,"chr5",1724999,1725304,"cg15671987_BC12","ICR_303"
"210","chr5",8457242,8457243,"chr5",8457194,8457623,"cg26423185_TC21","ICR_306"
"211","chr5",8457485,8457486,"chr5",8457194,8457623,"cg18269595_TC21","ICR_306"
"212","chr5",8457607,8457608,"chr5",8457194,8457623,"cg18371052_BC11","ICR_306"
"213","chr5",28928050,28928051,"chr5",28927611,28928264,"cg11015470_TC11","ICR_308"
"214","chr5",28928238,28928239,"chr5",28927611,28928264,"cg22863700_TC11","ICR_308"
"215","chr5",54985507,54985508,"chr5",54985353,54985551,"cg20451680_TC21","ICR_314"
"216","chr5",54985533,54985534,"chr5",54985353,54985551,"cg20673840_TC11","ICR_314"
"217","chr5",54985533,54985534,"chr5",54985353,54985551,"cg20673840_TC12","ICR_314"
"218","chr5",79070006,79070007,"chr5",79070006,79070129,"cg26759351_BC21","ICR_318"
"219","chr5",93078691,93078692,"chr5",93078598,93078980,"cg18783429_BC21","ICR_320"
"220","chr5",98839662,98839663,"chr5",98839609,98839686,"cg16527418_TC11","ICR_322"
"221","chr5",101783715,101783716,"chr5",101783626,101784015,"cg18665594_BC21","ICR_323"
"222","chr5",101783861,101783862,"chr5",101783626,101784015,"cg10455971_TC21","ICR_323"
"223","chr5",110894287,110894288,"chr5",110894250,110894443,"cg18755531_TC11","ICR_324"
"224","chr5",136079168,136079169,"chr5",136079155,136079563,"cg11852404_TC21","ICR_326"
"225","chr5",136079439,136079440,"chr5",136079155,136079563,"cg16684184_TC21","ICR_326"
"226","chr5",136080091,136080092,"chr5",136079901,136080957,"cg13581155_TC21","ICR_327"
"227","chr5",136080129,136080130,"chr5",136079901,136080957,"cg11978884_BC21","ICR_327"
"228","chr5",136080258,136080259,"chr5",136079901,136080957,"cg11608150_TC11","ICR_327"
"229","chr5",136080641,136080642,"chr5",136079901,136080957,"cg18678645_BC11","ICR_327"
"230","chr5",136080704,136080705,"chr5",136079901,136080957,"cg26328633_BC11","ICR_327"
"231","chr5",136080708,136080709,"chr5",136079901,136080957,"cg25340688_TC11","ICR_327"
"232","chr5",136080708,136080709,"chr5",136079901,136080957,"cg25340688_TC12","ICR_327"
"233","chr5",136080715,136080716,"chr5",136079901,136080957,"cg26896946_BC11","ICR_327"
"234","chr5",136080715,136080716,"chr5",136079901,136080957,"cg26896946_BC12","ICR_327"
"235","chr5",136080839,136080840,"chr5",136079901,136080957,"cg08745965_TC21","ICR_327"
"236","chr5",136080923,136080924,"chr5",136079901,136080957,"cg18797653_BC21","ICR_327"
"237","chr5",140808806,140808807,"chr5",140808751,140808810,"cg17459023_TC11","ICR_330"
"238","chr5",140829904,140829905,"chr5",140829824,140830061,"cg21887309_BC11","ICR_332"
"239","chr5",141304199,141304200,"chr5",141304190,141304290,"cg27320005_TC11","ICR_337"
"240","chr5",141332641,141332642,"chr5",141332571,141332739,"cg18835078_TC11","ICR_338"
"241","chr5",141339734,141339735,"chr5",141339674,141339766,"cg10933186_TC11","ICR_339"
"242","chr5",141384734,141384735,"chr5",141384676,141384771,"cg23211470_BC21","ICR_343"
"243","chr5",141384766,141384767,"chr5",141384676,141384771,"cg08627972_TC21","ICR_343"
"244","chr5",141384770,141384771,"chr5",141384676,141384771,"cg08627973_BC21","ICR_343"
"245","chr5",141441692,141441693,"chr5",141441692,141441739,"cg08629426_TC11","ICR_344"
"246","chr5",141441708,141441709,"chr5",141441692,141441739,"cg08629427_TO11","ICR_344"
"247","chr5",148320821,148320822,"chr5",148320800,148320873,"cg08684432_TC11","ICR_345"
"248","chr5",148320828,148320829,"chr5",148320800,148320873,"cg08684433_TC11","ICR_345"
"249","chr5",148320838,148320839,"chr5",148320800,148320873,"cg08684434_BC21","ICR_345"
"250","chr5",148320847,148320848,"chr5",148320800,148320873,"cg08684436_TC21","ICR_345"
"251","chr5",148320872,148320873,"chr5",148320800,148320873,"cg08684437_TC21","ICR_345"
"252","chr5",156850566,156850567,"chr5",156850520,156850587,"cg08756569_BC21","ICR_346"
"253","chr5",156850572,156850573,"chr5",156850520,156850587,"cg08756570_TC21","ICR_346"
"254","chr5",156850575,156850576,"chr5",156850520,156850587,"cg10514093_BC21","ICR_346"
"255","chr5",157690442,157690443,"chr5",157690421,157690546,"cg08765034_TC11","ICR_347"
"256","chr5",157690458,157690459,"chr5",157690421,157690546,"cg08765036_TC11","ICR_347"
"257","chr5",157690504,157690505,"chr5",157690421,157690546,"cg14444751_TC11","ICR_347"
"258","chr5",157690842,157690843,"chr5",157690809,157691003,"cg08765068_TC11","ICR_348"
"259","chr5",157690851,157690852,"chr5",157690809,157691003,"cg08765069_TC11","ICR_348"
"260","chr5",157690891,157690892,"chr5",157690809,157691003,"cg08765071_TC21","ICR_348"
"261","chr5",157690918,157690919,"chr5",157690809,157691003,"cg08765074_BC11","ICR_348"
"262","chr5",157690928,157690929,"chr5",157690809,157691003,"cg08765075_BC11","ICR_348"
"263","chr5",157690949,157690950,"chr5",157690809,157691003,"cg24358397_BC21","ICR_348"
"264","chr5",157690990,157690991,"chr5",157690809,157691003,"cg08765076_BC11","ICR_348"
"265","chr5",157691002,157691003,"chr5",157690809,157691003,"cg08765077_TC21","ICR_348"
"266","chr5",169636915,169636916,"chr5",169636667,169636916,"cg08858433_TC21","ICR_350"
"267","chr5",170252001,170252002,"chr5",170252001,170253184,"cg08863774_BC21","ICR_351"
"268","chr5",170252073,170252074,"chr5",170252001,170253184,"cg13099085_BC21","ICR_351"
"269","chr5",170252104,170252105,"chr5",170252001,170253184,"cg08863776_TC21","ICR_351"
"270","chr5",170252246,170252247,"chr5",170252001,170253184,"cg08863778_BC21","ICR_351"
"271","chr5",170252470,170252471,"chr5",170252001,170253184,"cg08863779_TC21","ICR_351"
"272","chr5",170252486,170252487,"chr5",170252001,170253184,"cg08863780_TC21","ICR_351"
"273","chr5",170252692,170252693,"chr5",170252001,170253184,"cg08863781_TC21","ICR_351"
"274","chr5",170252852,170252853,"chr5",170252001,170253184,"cg08863782_BO11","ICR_351"
"275","chr5",170252930,170252931,"chr5",170252001,170253184,"cg08863783_TC21","ICR_351"
"276","chr5",170252942,170252943,"chr5",170252001,170253184,"cg08863784_TC21","ICR_351"
"277","chr5",170253127,170253128,"chr5",170252001,170253184,"cg08863785_TC21","ICR_351"
"278","chr5",170253143,170253144,"chr5",170252001,170253184,"cg08863787_BC11","ICR_351"
"279","chr5",170253143,170253144,"chr5",170252001,170253184,"cg08863787_BC12","ICR_351"
"280","chr5",171319040,171319041,"chr5",171319024,171319892,"cg08873947_TC21","ICR_352"
"281","chr5",171319128,171319129,"chr5",171319024,171319892,"cg08873948_BC11","ICR_352"
"282","chr5",171319128,171319129,"chr5",171319024,171319892,"cg08873948_BC12","ICR_352"
"283","chr5",171319160,171319161,"chr5",171319024,171319892,"cg08873949_BC21","ICR_352"
"284","chr5",171319229,171319230,"chr5",171319024,171319892,"cg08873950_BC21","ICR_352"
"285","chr5",171319420,171319421,"chr5",171319024,171319892,"cg08873951_BC21","ICR_352"
"286","chr5",171319477,171319478,"chr5",171319024,171319892,"cg08873952_BC21","ICR_352"
"287","chr5",171319485,171319486,"chr5",171319024,171319892,"cg08873953_TC21","ICR_352"
"288","chr5",171319891,171319892,"chr5",171319024,171319892,"cg08873954_BC21","ICR_352"
"289","chr5",172602844,172602845,"chr5",172602844,172603197,"cg08891896_TC11","ICR_353"
"290","chr5",172602844,172602845,"chr5",172602844,172603197,"cg08891896_TC12","ICR_353"
"291","chr5",172602906,172602907,"chr5",172602844,172603197,"cg08891897_BC21","ICR_353"
"292","chr5",172602960,172602961,"chr5",172602844,172603197,"cg08891898_BC11","ICR_353"
"293","chr5",172602993,172602994,"chr5",172602844,172603197,"cg08891899_TC21","ICR_353"
"294","chr5",172602999,172603000,"chr5",172602844,172603197,"cg08891900_BC21","ICR_353"
"295","chr5",172603134,172603135,"chr5",172602844,172603197,"cg08891901_TC11","ICR_353"
"296","chr5",172603147,172603148,"chr5",172602844,172603197,"cg08891902_BC11","ICR_353"
"297","chr5",172603193,172603194,"chr5",172602844,172603197,"cg08891905_TC21","ICR_353"
"298","chr5",172603193,172603194,"chr5",172602844,172603197,"cg08891905_TC22","ICR_353"
"299","chr5",172603196,172603197,"chr5",172602844,172603197,"cg08891906_BC11","ICR_353"
"300","chr5",172603196,172603197,"chr5",172602844,172603197,"cg08891906_BC12","ICR_353"
"301","chr5",172670044,172670045,"chr5",172669972,172670257,"cg08892994_TC11","ICR_354"
"302","chr5",172670049,172670050,"chr5",172669972,172670257,"cg08892995_BC11","ICR_354"
