ID,ICR_chr,ICR_start,ICR_end,ICR_id,CpG_chr,CpG_start,CpG_end,Number_of_somatic_tissue,smatic_tissue_list,Brain_found,Liver_found,Kidney_found,Assay_Design_Id,Top_Sequence,Locus_Name,DesignQC,,,,DesignQC
707,1,91387426,91387588,ICR_53,1,91387466,91387467,3,"1,2,3",1,1,1,,,cg00162191,CGdb - Multimapper,,,,
708,1,91387426,91387588,ICR_53,1,91387489,91387490,3,"1,2,3",1,1,1,,,cg01056739,CGdb - Multimapper,,,,
780,1,125126341,125127474,ICR_58,1,125127473,125127474,3,"1,2,3",1,1,1,,,cg01331592,CGdb - Multimapper,,,,
785,1,144547463,144547582,ICR_59,1,144547506,144547507,3,"1,2,3",1,1,1,,,cg01348521,CGdb - Multimapper,,,,
786,1,144547463,144547582,ICR_59,1,144547513,144547514,3,"1,2,3",1,1,1,,,cg01348522,CGdb - Multimapper,,,,
787,1,144547463,144547582,ICR_59,1,144547521,144547522,2,"1,3",1,0,1,,,cg01348523,CGdb - Multimapper,,,,
788,1,144547463,144547582,ICR_59,1,144547522,144547523,1,2,0,1,0,,,,CG - Submitted - discrepant Ref Genome,,,,
789,1,144547463,144547582,ICR_59,1,144547545,144547546,3,"1,2,3",1,1,1,,,cg01348524,CGdb - Multimapper,,,,
790,1,144547463,144547582,ICR_59,1,144547565,144547566,3,"1,2,3",1,1,1,,,cg01348525,CGdb - Multimapper,,,,
791,1,144547463,144547582,ICR_59,1,144547569,144547570,3,"1,2,3",1,1,1,,,cg01348526,CGdb - Multimapper,,,,
792,1,144547463,144547582,ICR_59,1,144547574,144547575,2,"2,3",0,1,1,,,cg01348527,CGdb - Multimapper,,,,
793,1,144547463,144547582,ICR_59,1,144547577,144547578,2,"1,3",1,0,1,,,cg01348528,CGdb - Multimapper,,,,
794,1,144547463,144547582,ICR_59,1,144547581,144547582,2,"1,3",1,0,1,,,cg01348529,CGdb - Multimapper,,,,
795,1,144642001,144642148,ICR_60,1,144642012,144642013,3,"1,2,3",1,1,1,,,cg01346519,CGdb - Multimapper,,,,
796,1,144642001,144642148,ICR_60,1,144642030,144642031,3,"1,2,3",1,1,1,,,cg01346518,CGdb - Multimapper,,,,
797,1,144642001,144642148,ICR_60,1,144642054,144642055,3,"1,2,3",1,1,1,,,cg01339332,CGdb - Multimapper,,,,
798,1,144642001,144642148,ICR_60,1,144642075,144642076,3,"1,2,3",1,1,1,,,cg01287406,CGdb - Multimapper,,,,
799,1,144642001,144642148,ICR_60,1,144642088,144642089,3,"1,2,3",1,1,1,,,cg01287405,CGdb - Multimapper,,,,
800,1,144642001,144642148,ICR_60,1,144642092,144642093,3,"1,2,3",1,1,1,,,cg01287404,CGdb - Multimapper,,,,
801,1,144642001,144642148,ICR_60,1,144642100,144642101,3,"1,2,3",1,1,1,,,cg01287403,CGdb - Multimapper,,,,
802,1,144642001,144642148,ICR_60,1,144642121,144642122,3,"1,2,3",1,1,1,,,cg01339331,CGdb - Multimapper,,,,
803,1,144642001,144642148,ICR_60,1,144642127,144642128,3,"1,2,3",1,1,1,,,cg01339330,CGdb - Multimapper,,,,
804,1,144642001,144642148,ICR_60,1,144642130,144642131,3,"1,2,3",1,1,1,,,cg01339329,CGdb - Multimapper,,,,
805,1,144642001,144642148,ICR_60,1,144642147,144642148,3,"1,2,3",1,1,1,,,cg01339328,CGdb - Multimapper,,,,
806,1,144813474,144813505,ICR_61,1,144813476,144813477,3,"1,2,3",1,1,1,,,cg01345674,CGdb - Multimapper,,,,
807,1,144813474,144813505,ICR_61,1,144813479,144813480,3,"1,2,3",1,1,1,,,cg01345673,CGdb - Multimapper,,,,
808,1,144813474,144813505,ICR_61,1,144813486,144813487,3,"1,2,3",1,1,1,,,cg01345672,CGdb - Multimapper,,,,
809,1,144813474,144813505,ICR_61,1,144813494,144813495,3,"1,2,3",1,1,1,,,cg01345671,CGdb - Multimapper,,,,
810,1,144813474,144813505,ICR_61,1,144813497,144813498,3,"1,2,3",1,1,1,,,cg01345670,CGdb - Multimapper,,,,
811,1,144813474,144813505,ICR_61,1,144813504,144813505,3,"1,2,3",1,1,1,,,cg01345669,CGdb - Multimapper,,,,
920,1,161442725,161442826,ICR_67,1,161442729,161442730,3,"1,2,3",1,1,1,,,cg01522791,CGdb - Multimapper,,,,
921,1,161442725,161442826,ICR_67,1,161442735,161442736,3,"1,2,3",1,1,1,,,cg01522792,CGdb - Multimapper,,,,
922,1,161442725,161442826,ICR_67,1,161442742,161442743,3,"1,2,3",1,1,1,,,cg01522793,CGdb - Multimapper,,,,
923,1,161442725,161442826,ICR_67,1,161442752,161442753,3,"1,2,3",1,1,1,,,cg01522794,CGdb - Multimapper,,,,
924,1,161442725,161442826,ICR_67,1,161442755,161442756,3,"1,2,3",1,1,1,,,cg01522795,CGdb - Multimapper,,,,
925,1,161442725,161442826,ICR_67,1,161442761,161442762,3,"1,2,3",1,1,1,,,cg01522796,CGdb - Multimapper,,,,
926,1,161442725,161442826,ICR_67,1,161442765,161442766,3,"1,2,3",1,1,1,,,cg01522797,CGdb - Multimapper,,,,
927,1,161442725,161442826,ICR_67,1,161442782,161442783,3,"1,2,3",1,1,1,,,cg01522798,CGdb - Multimapper,,,,
929,1,161449348,161449576,ICR_68,1,161449370,161449371,3,"1,2,3",1,1,1,,,cg01522718,CGdb - Multimapper,,,,
930,1,161449348,161449576,ICR_68,1,161449374,161449375,3,"1,2,3",1,1,1,,,cg01522719,CGdb - Multimapper,,,,
931,1,161449348,161449576,ICR_68,1,161449389,161449390,3,"1,2,3",1,1,1,,,cg01522720,CGdb - Multimapper,,,,
932,1,161449348,161449576,ICR_68,1,161449450,161449451,3,"1,2,3",1,1,1,,,cg01523206,CGdb - Multimapper,,,,
933,1,161449348,161449576,ICR_68,1,161449457,161449458,3,"1,2,3",1,1,1,,,cg01523207,CGdb - Multimapper,,,,
934,1,161449348,161449576,ICR_68,1,161449464,161449465,3,"1,2,3",1,1,1,,,cg01523208,CGdb - Multimapper,,,,
935,1,161449348,161449576,ICR_68,1,161449471,161449472,3,"1,2,3",1,1,1,,,cg01523209,CGdb - Multimapper,,,,
936,1,161449348,161449576,ICR_68,1,161449481,161449482,3,"1,2,3",1,1,1,,,cg01523210,CGdb - Multimapper,,,,
937,1,161449348,161449576,ICR_68,1,161449484,161449485,3,"1,2,3",1,1,1,,,cg01523211,CGdb - Multimapper,,,,
938,1,161449348,161449576,ICR_68,1,161449489,161449490,3,"1,2,3",1,1,1,,,cg01523212,CGdb - Multimapper,,,,
939,1,161449348,161449576,ICR_68,1,161449502,161449503,2,"1,2",1,1,0,,,cg01523213,CGdb - Multimapper,,,,
940,1,161449348,161449576,ICR_68,1,161449521,161449522,3,"1,2,3",1,1,1,,,cg01522730,CGdb - Multimapper,,,,
941,1,161449348,161449576,ICR_68,1,161449525,161449526,3,"1,2,3",1,1,1,,,cg01522731,CGdb - Multimapper,,,,
942,1,161449348,161449576,ICR_68,1,161449549,161449550,3,"1,2,3",1,1,1,,,cg01522732,CGdb - Multimapper,,,,
943,1,161449348,161449576,ICR_68,1,161449562,161449563,3,"1,2,3",1,1,1,,,cg01523214,CGdb - Multimapper,,,,
944,1,161449348,161449576,ICR_68,1,161449566,161449567,3,"1,2,3",1,1,1,,,cg01523215,CGdb - Multimapper,,,,
945,1,161449348,161449576,ICR_68,1,161449571,161449572,3,"1,2,3",1,1,1,,,cg01523216,CGdb - Multimapper,,,,
946,1,161449348,161449576,ICR_68,1,161449575,161449576,3,"1,2,3",1,1,1,,,cg01523217,CGdb - Multimapper,,,,
947,1,161458396,161458728,ICR_69,1,161458401,161458402,3,"1,2,3",1,1,1,,,cg01522870,CGdb - Multimapper,,,,
948,1,161458396,161458728,ICR_69,1,161458403,161458404,3,"1,2,3",1,1,1,,,cg01522871,CGdb - Multimapper,,,,
949,1,161458396,161458728,ICR_69,1,161458461,161458462,3,"1,2,3",1,1,1,,,cg01522872,CGdb - Multimapper,,,,
950,1,161458396,161458728,ICR_69,1,161458471,161458472,3,"1,2,3",1,1,1,,,cg01522873,CGdb - Multimapper,,,,
951,1,161458396,161458728,ICR_69,1,161458474,161458475,3,"1,2,3",1,1,1,,,cg01522874,CGdb - Multimapper,,,,
952,1,161458396,161458728,ICR_69,1,161458488,161458489,3,"1,2,3",1,1,1,,,cg01522875,CGdb - Multimapper,,,,
953,1,161458396,161458728,ICR_69,1,161458496,161458497,3,"1,2,3",1,1,1,,,cg01522876,CGdb - Multimapper,,,,
954,1,161458396,161458728,ICR_69,1,161458508,161458509,3,"1,2,3",1,1,1,,,cg01522877,CGdb - Multimapper,,,,
959,1,161458396,161458728,ICR_69,1,161458662,161458663,3,"1,2,3",1,1,1,,,cg01522883,CGdb - Multimapper,,,,
960,1,161458396,161458728,ICR_69,1,161458664,161458665,3,"1,2,3",1,1,1,,,cg01522884,CGdb - Multimapper,,,,
961,1,161458396,161458728,ICR_69,1,161458717,161458718,1,3,0,0,1,,,cg01522885,CGdb - Multimapper,,,,
962,1,161458396,161458728,ICR_69,1,161458718,161458719,2,"1,2",1,1,0,,,,CG - Submitted - discrepant Ref Genome,,,,
963,1,161458396,161458728,ICR_69,1,161458719,161458720,1,3,0,0,1,,,cg01522886,CGdb - Multimapper,,,,
964,1,161458396,161458728,ICR_69,1,161458720,161458721,2,"1,2",1,1,0,,,,CG - Submitted - discrepant Ref Genome,,,,
965,1,161458396,161458728,ICR_69,1,161458727,161458728,3,"1,2,3",1,1,1,,,cg01522887,CGdb - Multimapper,,,,
971,1,161472562,161472609,ICR_70,1,161472608,161472609,3,"1,2,3",1,1,1,,,cg01522810,CGdb - Multimapper,,,,
990,1,168056307,168056468,ICR_73,1,168056362,168056363,3,"1,2,3",1,1,1,,,cg01575419,CGdb - Multimapper,,,,
991,1,168056307,168056468,ICR_73,1,168056368,168056369,3,"1,2,3",1,1,1,,,cg01575420,CGdb - Multimapper,,,,
992,1,168056307,168056468,ICR_73,1,168056370,168056371,3,"1,2,3",1,1,1,,,cg01575421,CGdb - Multimapper,,,,
993,1,168056307,168056468,ICR_73,1,168056372,168056373,3,"1,2,3",1,1,1,,,cg01575422,CGdb - Multimapper,,,,
994,1,168056307,168056468,ICR_73,1,168056393,168056394,3,"1,2,3",1,1,1,,,cg01575423,CGdb - Multimapper,,,,
995,1,168056307,168056468,ICR_73,1,168056397,168056398,3,"1,2,3",1,1,1,,,cg01575424,CGdb - Multimapper,,,,
996,1,168056307,168056468,ICR_73,1,168056402,168056403,3,"1,2,3",1,1,1,,,cg01575425,CGdb - Multimapper,,,,
997,1,168056307,168056468,ICR_73,1,168056411,168056412,3,"1,2,3",1,1,1,,,cg01575426,CGdb - Multimapper,,,,
998,1,168056307,168056468,ICR_73,1,168056416,168056417,3,"1,2,3",1,1,1,,,cg01575427,CGdb - Multimapper,,,,
999,1,168056307,168056468,ICR_73,1,168056425,168056426,3,"1,2,3",1,1,1,,,cg01575428,CGdb - Multimapper,,,,
1151,1,228617766,228617825,ICR_87,1,228617773,228617774,3,"1,2,3",1,1,1,,,cg02076025,CGdb - Multimapper,,,,
1152,1,228617766,228617825,ICR_87,1,228617777,228617778,3,"1,2,3",1,1,1,,,cg02076026,CGdb - Multimapper,,,,
1153,1,228617766,228617825,ICR_87,1,228617779,228617780,3,"1,2,3",1,1,1,,,cg02076027,CGdb - Multimapper,,,,
1154,1,228617766,228617825,ICR_87,1,228617785,228617786,3,"1,2,3",1,1,1,,,cg02076028,CGdb - Multimapper,,,,
1155,1,228617766,228617825,ICR_87,1,228617789,228617790,3,"1,2,3",1,1,1,,,cg02076029,CGdb - Multimapper,,,,
1156,1,228617766,228617825,ICR_87,1,228617801,228617802,3,"1,2,3",1,1,1,,,cg02076030,CGdb - Multimapper,,,,
1157,1,228617766,228617825,ICR_87,1,228617803,228617804,3,"1,2,3",1,1,1,,,cg02076031,CGdb - Multimapper,,,,
1158,1,228617766,228617825,ICR_87,1,228617824,228617825,3,"1,2,3",1,1,1,,,cg02076032,CGdb - Multimapper,,,,
1159,1,228619143,228619258,ICR_88,1,228619150,228619151,3,"1,2,3",1,1,1,,,cg02076088,CGdb - Multimapper,,,,
1160,1,228619143,228619258,ICR_88,1,228619172,228619173,3,"1,2,3",1,1,1,,,cg02076089,CGdb - Multimapper,,,,
1161,1,228619143,228619258,ICR_88,1,228619180,228619181,3,"1,2,3",1,1,1,,,cg02076090,CGdb - Multimapper,,,,
1162,1,228619143,228619258,ICR_88,1,228619188,228619189,3,"1,2,3",1,1,1,,,cg02076091,CGdb - Multimapper,,,,
1163,1,228619143,228619258,ICR_88,1,228619244,228619245,3,"1,2,3",1,1,1,,,cg02076010,CGdb - Multimapper,,,,
1164,1,228619143,228619258,ICR_88,1,228619257,228619258,3,"1,2,3",1,1,1,,,cg02076092,CGdb - Multimapper,,,,
1177,1,228622208,228622303,ICR_90,1,228622282,228622283,3,"1,2,3",1,1,1,,,cg02076033,CGdb - Multimapper,,,,
1178,1,228622208,228622303,ICR_90,1,228622302,228622303,3,"1,2,3",1,1,1,,,cg02075894,CGdb - Multimapper,,,,
1179,1,228625042,228625229,ICR_91,1,228625049,228625050,3,"1,2,3",1,1,1,,,cg02076244,CGdb - Multimapper,,,,
1180,1,228625042,228625229,ICR_91,1,228625061,228625062,3,"1,2,3",1,1,1,,,cg02076245,CGdb - Multimapper,,,,
1181,1,228625042,228625229,ICR_91,1,228625064,228625065,3,"1,2,3",1,1,1,,,cg02076246,CGdb - Multimapper,,,,
1182,1,228625042,228625229,ICR_91,1,228625069,228625070,3,"1,2,3",1,1,1,,,cg02076247,CGdb - Multimapper,,,,
1183,1,228625042,228625229,ICR_91,1,228625074,228625075,3,"1,2,3",1,1,1,,,cg02076248,CGdb - Multimapper,,,,
1184,1,228625042,228625229,ICR_91,1,228625094,228625095,3,"1,2,3",1,1,1,,,cg02076249,CGdb - Multimapper,,,,
1185,1,228625042,228625229,ICR_91,1,228625117,228625118,3,"1,2,3",1,1,1,,,cg02076318,CGdb - Multimapper,,,,
1186,1,228625042,228625229,ICR_91,1,228625127,228625128,3,"1,2,3",1,1,1,,,cg02076319,CGdb - Multimapper,,,,
1187,1,228625042,228625229,ICR_91,1,228625146,228625147,3,"1,2,3",1,1,1,,,cg02076057,CGdb - Multimapper,,,,
1188,1,228625042,228625229,ICR_91,1,228625164,228625165,3,"1,2,3",1,1,1,,,cg02076058,CGdb - Multimapper,,,,
1189,1,228625042,228625229,ICR_91,1,228625169,228625170,3,"1,2,3",1,1,1,,,cg02076059,CGdb - Multimapper,,,,
1190,1,228625042,228625229,ICR_91,1,228625175,228625176,3,"1,2,3",1,1,1,,,cg02076060,CGdb - Multimapper,,,,
1191,1,228625042,228625229,ICR_91,1,228625178,228625179,3,"1,2,3",1,1,1,,,cg02076061,CGdb - Multimapper,,,,
1192,1,228625042,228625229,ICR_91,1,228625190,228625191,3,"1,2,3",1,1,1,,,cg02076062,CGdb - Multimapper,,,,
1193,1,228625042,228625229,ICR_91,1,228625203,228625204,3,"1,2,3",1,1,1,,,cg02076063,CGdb - Multimapper,,,,
1194,1,228625042,228625229,ICR_91,1,228625216,228625217,3,"1,2,3",1,1,1,,,cg02076064,CGdb - Multimapper,,,,
1195,1,228625042,228625229,ICR_91,1,228625228,228625229,3,"1,2,3",1,1,1,,,cg02076065,CGdb - Multimapper,,,,
1196,1,228632865,228633148,ICR_92,1,228632872,228632873,3,"1,2,3",1,1,1,,,cg02076118,CGdb - Multimapper,,,,
1197,1,228632865,228633148,ICR_92,1,228632874,228632875,3,"1,2,3",1,1,1,,,cg02076119,CGdb - Multimapper,,,,
1198,1,228632865,228633148,ICR_92,1,228632885,228632886,3,"1,2,3",1,1,1,,,cg02076120,CGdb - Multimapper,,,,
1199,1,228632865,228633148,ICR_92,1,228632892,228632893,3,"1,2,3",1,1,1,,,cg02076121,CGdb - Multimapper,,,,
1200,1,228632865,228633148,ICR_92,1,228632894,228632895,3,"1,2,3",1,1,1,,,cg02076122,CGdb - Multimapper,,,,
1201,1,228632865,228633148,ICR_92,1,228632900,228632901,3,"1,2,3",1,1,1,,,cg02076123,CGdb - Multimapper,,,,
1202,1,228632865,228633148,ICR_92,1,228632916,228632917,3,"1,2,3",1,1,1,,,cg02076125,CGdb - Multimapper,,,,
1203,1,228632865,228633148,ICR_92,1,228632922,228632923,3,"1,2,3",1,1,1,,,cg02076126,CGdb - Multimapper,,,,
1204,1,228632865,228633148,ICR_92,1,228632926,228632927,3,"1,2,3",1,1,1,,,cg02076127,CGdb - Multimapper,,,,
1205,1,228632865,228633148,ICR_92,1,228632943,228632944,3,"1,2,3",1,1,1,,,cg02076128,CGdb - Multimapper,,,,
1206,1,228632865,228633148,ICR_92,1,228632948,228632949,3,"1,2,3",1,1,1,,,cg02076129,CGdb - Multimapper,,,,
1207,1,228632865,228633148,ICR_92,1,228632967,228632968,3,"1,2,3",1,1,1,,,cg02076130,CGdb - Multimapper,,,,
1208,1,228632865,228633148,ICR_92,1,228632978,228632979,3,"1,2,3",1,1,1,,,cg02076131,CGdb - Multimapper,,,,
1209,1,228632865,228633148,ICR_92,1,228632985,228632986,3,"1,2,3",1,1,1,,,cg02076132,CGdb - Multimapper,,,,
1221,1,228632865,228633148,ICR_92,1,228633113,228633114,3,"1,2,3",1,1,1,,,cg02075855,CGdb - Multimapper,,,,
1222,1,228632865,228633148,ICR_92,1,228633115,228633116,3,"1,2,3",1,1,1,,,cg02075856,CGdb - Multimapper,,,,
1223,1,228632865,228633148,ICR_92,1,228633117,228633118,3,"1,2,3",1,1,1,,,cg02075857,CGdb - Multimapper,,,,
1224,1,228632865,228633148,ICR_92,1,228633136,228633137,3,"1,2,3",1,1,1,,,cg02075858,CGdb - Multimapper,,,,
1225,1,228632865,228633148,ICR_92,1,228633147,228633148,3,"1,2,3",1,1,1,,,cg02075859,CGdb - Multimapper,,,,
1226,1,228635189,228635657,ICR_93,1,228635207,228635208,3,"1,2,3",1,1,1,,,cg02076130,CGdb - Multimapper,,,,
1227,1,228635189,228635657,ICR_93,1,228635218,228635219,3,"1,2,3",1,1,1,,,cg02076131,CGdb - Multimapper,,,,
1228,1,228635189,228635657,ICR_93,1,228635225,228635226,3,"1,2,3",1,1,1,,,cg02076132,CGdb - Multimapper,,,,
1229,1,228635189,228635657,ICR_93,1,228635233,228635234,3,"1,2,3",1,1,1,,,cg02076133,CGdb - Multimapper,,,,
1230,1,228635189,228635657,ICR_93,1,228635241,228635242,3,"1,2,3",1,1,1,,,cg02076134,CGdb - Multimapper,,,,
1231,1,228635189,228635657,ICR_93,1,228635243,228635244,3,"1,2,3",1,1,1,,,cg02076135,CGdb - Multimapper,,,,
1232,1,228635189,228635657,ICR_93,1,228635252,228635253,3,"1,2,3",1,1,1,,,cg02075845,CGdb - Multimapper,,,,
1233,1,228635189,228635657,ICR_93,1,228635266,228635267,3,"1,2,3",1,1,1,,,cg02075846,CGdb - Multimapper,,,,
1234,1,228635189,228635657,ICR_93,1,228635269,228635270,3,"1,2,3",1,1,1,,,cg02075847,CGdb - Multimapper,,,,
1235,1,228635189,228635657,ICR_93,1,228635285,228635286,3,"1,2,3",1,1,1,,,cg02075848,CGdb - Multimapper,,,,
1253,1,228635189,228635657,ICR_93,1,228635487,228635488,3,"1,2,3",1,1,1,,,cg02075869,CGdb - Multimapper,,,,
1254,1,228635189,228635657,ICR_93,1,228635490,228635491,3,"1,2,3",1,1,1,,,cg02075870,CGdb - Multimapper,,,,
1255,1,228635189,228635657,ICR_93,1,228635501,228635502,3,"1,2,3",1,1,1,,,cg02075871,CGdb - Multimapper,,,,
1256,1,228635189,228635657,ICR_93,1,228635540,228635541,3,"1,2,3",1,1,1,,,cg02075872,CGdb - Multimapper,,,,
1273,1,228636250,228636431,ICR_94,1,228636252,228636253,3,"1,2,3",1,1,1,,,cg02076051,CGdb - Multimapper,,,,
1274,1,228636250,228636431,ICR_94,1,228636257,228636258,3,"1,2,3",1,1,1,,,cg02076052,CGdb - Multimapper,,,,
1275,1,228636250,228636431,ICR_94,1,228636262,228636263,3,"1,2,3",1,1,1,,,cg02076053,CGdb - Multimapper,,,,
1276,1,228636250,228636431,ICR_94,1,228636281,228636282,3,"1,2,3",1,1,1,,,cg02076054,CGdb - Multimapper,,,,
1279,1,228636250,228636431,ICR_94,1,228636333,228636334,3,"1,2,3",1,1,1,,,cg02076252,CGdb - Multimapper,,,,
1280,1,228636250,228636431,ICR_94,1,228636351,228636352,3,"1,2,3",1,1,1,,,cg02076253,CGdb - Multimapper,,,,
1281,1,228636250,228636431,ICR_94,1,228636362,228636363,3,"1,2,3",1,1,1,,,cg02076255,CGdb - Multimapper,,,,
1282,1,228636250,228636431,ICR_94,1,228636365,228636366,3,"1,2,3",1,1,1,,,cg02076256,CGdb - Multimapper,,,,
1283,1,228636250,228636431,ICR_94,1,228636377,228636378,3,"1,2,3",1,1,1,,,cg02076257,CGdb - Multimapper,,,,
1284,1,228636250,228636431,ICR_94,1,228636390,228636391,3,"1,2,3",1,1,1,,,cg02076258,CGdb - Multimapper,,,,
1285,1,228636250,228636431,ICR_94,1,228636403,228636404,3,"1,2,3",1,1,1,,,cg02076259,CGdb - Multimapper,,,,
1286,1,228636250,228636431,ICR_94,1,228636415,228636416,3,"1,2,3",1,1,1,,,cg02076261,CGdb - Multimapper,,,,
1287,1,228636250,228636431,ICR_94,1,228636430,228636431,3,"1,2,3",1,1,1,,,cg02076262,CGdb - Multimapper,,,,
1289,1,228637728,228637831,ICR_95,1,228637808,228637809,3,"1,2,3",1,1,1,,,cg02076011,CGdb - Multimapper,,,,
1290,1,228637728,228637831,ICR_95,1,228637812,228637813,3,"1,2,3",1,1,1,,,cg02076012,CGdb - Multimapper,,,,
1291,1,228637728,228637831,ICR_95,1,228637814,228637815,3,"1,2,3",1,1,1,,,cg02076013,CGdb - Multimapper,,,,
1292,1,228637728,228637831,ICR_95,1,228637818,228637819,3,"1,2,3",1,1,1,,,cg02076015,CGdb - Multimapper,,,,
1293,1,228637728,228637831,ICR_95,1,228637822,228637823,3,"1,2,3",1,1,1,,,cg02076016,CGdb - Multimapper,,,,
1294,1,228637728,228637831,ICR_95,1,228637824,228637825,3,"1,2,3",1,1,1,,,cg02076017,CGdb - Multimapper,,,,
1295,1,228637728,228637831,ICR_95,1,228637826,228637827,3,"1,2,3",1,1,1,,,cg02076018,CGdb - Multimapper,,,,
1296,1,228637728,228637831,ICR_95,1,228637828,228637829,3,"1,2,3",1,1,1,,,cg02076019,CGdb - Multimapper,,,,
1297,1,228637728,228637831,ICR_95,1,228637830,228637831,3,"1,2,3",1,1,1,,,cg02076021,CGdb - Multimapper,,,,
1440,1,244048598,244048661,ICR_105,1,244048638,244048639,1,3,0,0,1,,,,CG - Submitted - discrepant Ref Genome,,,,
1442,1,244048598,244048661,ICR_105,1,244048644,244048645,1,3,0,0,1,,,,CG - Submitted - discrepant Ref Genome,,,,
