icr,location,zf1,zf2,zf3,,
ICR_69,chr1:161458396-161458728,,,,,
ICR_70,chr1:161472562-161472609,,,,,
ICR_71,chr1:164087963-164088420,,,,,
ICR_72,chr1:166343070-166343120,,,,,
ICR_73,chr1:168056307-168056468,,,,,
ICR_74,chr1:175505315-175505505,,,,,
ICR_75^,chr1:176313754-176314036,,,,,
ICR_76^,chr1:179586745-179586852,,,,,
ICR_77^,chr1:180935406-180935498,,,,,
ICR_78^,chr1:203076164-203076460,,,,,
ICR_79^,chr1:203861024-203861206,,,,,
ICR_80*^,chr1:204829545-204831249,,,,,
ICR_81^,chr1:208044765-208045294,ZFP57,,,,
ICR_82^,chr1:209645908-209646203,,,,,
ICR_83^,chr1:226127234-226127411,,,,,
ICR_84,chr1:227558329-227558593,,,,,
ICR_85^,chr1:228174003-228174086,,,,,
ICR_86,chr1:228470749-228471025,ZFP57,,,,
ICR_87,chr1:228617766-228617825,,,,,
ICR_88,chr1:228619143-228619258,,,,,
ICR_89^,chr1:228620967-228621017,,,,,
ICR_90^,chr1:228622208-228622303,,,,,
ICR_91,chr1:228625042-228625229,,,,,
ICR_92^,chr1:228632865-228633148,,,,,
ICR_93^,chr1:228635189-228635657,,,,,
ICR_94,chr1:228636250-228636431,,,,,
ICR_95^,chr1:228637728-228637831,,,,,
ICR_96^,chr1:228754271-228755024,,,,,
ICR_97,chr1:228755198-228755269,,,,,
ICR_98*^,chr1:234231622-234231851,,,,,
ICR_99^,chr1:234356908-234357513,ZFP57,,,,
ICR_100^,chr1:234955629-234956306,,,,,
ICR_101^,chr1:236120016-236120293,,,,,
ICR_102*^,chr1:240492941-240493380,ZFP57,,,,
ICR_103*^,chr1:243101535-243101819,,,,,
ICR_104,chr1:243916707-243916919,,,,,
ICR_105,chr1:244048598-244048661,,,,,
ICR_106^,chr1:244729465-244729883,ZFP57,,,,
ICR_107,chr1:245688553-245688677,,,,,
ICR_108,chr1:247518137-247518222,,,,,
ICR_109,chr1:247530969-247531234,,,,,
ICR_110,chr1:248692088-248692168,,,,,
ICR_111,chr2:11106-11299,ZFP57,,,,
ICR_112,chr2:636482-636639,,,,,
ICR_113,chr2:730278-730395,,,,,
ICR_114*^,chr2:25161155-25161328,,,,,
ICR_115*,chr2:26728575-26728788,ZFP57,,,,
ICR_116^,chr2:28342638-28342806,,,,,
ICR_117,chr2:31581451-31581676,,,,,
ICR_118^,chr2:36240518-36240688,,,,,
ICR_119^,chr2:39243625-39244106,,,,,
ICR_120^,chr2:42961751-42962095,,,,,
ICR_121^,chr2:44885640-44886022,,,,,
ICR_122^,chr2:44947693-44949267,,,,,
ICR_123^,chr2:49229257-49229842,,,,,
ICR_124^,chr2:53961656-53961932,,,,,
ICR_125,chr2:54289850-54290281,,,,,
ICR_126^,chr2:68679047-68679733,,,,,
ICR_127,chr2:90245081-90245412,,,,,
ICR_128,chr2:91414357-91414491,,,,,
ICR_129,chr2:91459090-91459930,,,,,
ICR_130,chr2:91748715-91748860,ZFP57,,,,
ICR_131,chr2:91940731-91945010,,,,,
ICR_132,chr2:91974862-91974933,,,,,
ICR_133^,chr2:95078802-95079392,,,,,
ICR_134,chr2:97724050-97724186,ZFP57,,,,
ICR_135^,chr2:98822248-98822374,ZFP57,,,,
ICR_136,chr2:105180733-105181408,,,,,
ICR_137,chr2:105236991-105237239,,,,,
ICR_138,chr2:106584530-106584661,,,,,
ICR_139,chr2:107132074-107132624,,,,,
ICR_140^,chr2:112433099-112433213,,,,,
ICR_141*^,chr2:117859040-117859178,ZFP57,,,,
ICR_142*^,chr2:119350054-119351113,,,,,
ICR_143^,chr2:119430482-119430908,,,,,
ICR_144,chr2:120526146-120526533,,,,,
ICR_145,chr2:121076853-121076911,,,,,
ICR_146*^,chr2:127695526-127695730,,,,,
ICR_147^,chr2:128493617-128493806,ZFP57,,,,
ICR_148^,chr2:128607622-128608057,,,,,
ICR_149^,chr2:128901753-128902169,,,,,
ICR_150*^,chr2:129587442-129587521,,,,,
ICR_151*,chr2:130036983-130037204,,,,,
ICR_152^,chr2:130037808-130038132,,,,,
ICR_153,chr2:131647235-131647405,,,,,
ICR_154^,chr2:131724040-131724118,ZFP57,,,,
ICR_155^,chr2:131724345-131724375,ZFP57,,,,
ICR_156^,chr2:132273072-132273187,,,,,
ICR_157,chr2:149320367-149320581,,,,,
ICR_158,chr2:161340716-161341095,ZFP57,,,,
ICR_159^,chr2:162243085-162244421,,,,,
ICR_160,chr2:163026310-163026448,,,,,
ICR_161^,chr2:173217299-173217391,,,,,
ICR_162^,chr2:179429150-179429367,,,,,
ICR_163*^,chr2:181574336-181575348,,,,,
ICR_164^,chr2:201139399-201139980,,,,,
ICR_165^,chr2:206250433-206252905,,ZFP445,ZFP445,,
ICR_166,chr2:206253064-206254113,,,,,
ICR_167^,chr2:206257411-206257639,,,,,
ICR_168,chr2:206257801-206258345,,,,,
ICR_169*,chr2:206258596-206260336,,,,,
ICR_170*,chr2:206260650-206261209,,,,,
ICR_171,chr2:206262500-206263975,,,,,
ICR_172,chr2:206264112-206264458,,,,,
ICR_173,chr2:206267203-206267661,,,,,
ICR_174,chr2:206268137-206268603,,,,,
ICR_175,chr2:206269730-206270167,,,,,
ICR_176,chr2:206272290-206272946,,,,,
ICR_177,chr2:218890039-218890255,,,,,
ICR_178^,chr2:229180860-229180972,,,,,
ICR_179,chr2:230849889-230849990,,,,,
ICR_180^,chr2:230991059-230991241,ZFP57,,,,
ICR_181,chr2:232409725-232409943,,,,,
ICR_182^,chr2:234168141-234168738,,,,,
ICR_183^,chr2:235503242-235503454,,,,,
ICR_184*^,chr2:236642778-236643076,,,,,
ICR_185,chr2:236803775-236804140,,,,,
ICR_186^,chr2:237156450-237156745,,,,,
ICR_187*^,chr2:241901656-241902337,ZFP57,,,,
ICR_188,chr2:241902453-241902725,ZFP57,,,,
ICR_189,chr2:241936452-241936540,ZFP57,,,,
ICR_190^,chr2:242088455-242088503,,,,,
ICR_191,chr3:147595-148344,,,,,
ICR_192,chr3:8679127-8679350,,,,,
ICR_193^,chr3:12768912-12768970,,,,,
ICR_194^,chr3:14366359-14366571,,,,,
ICR_195,chr3:15333009-15333079,ZFP57,,,,
ICR_196^,chr3:23918444-23918675,,,,,
ICR_197^,chr3:24303492-24303789,,,,,
ICR_198,chr3:28200466-28200710,,,,,
ICR_199,chr3:30893926-30894319,,,,,
ICR_200*^,chr3:39502701-39502946,ZFP57,,,,
ICR_201^,chr3:42936229-42936568,,,,,
ICR_202,chr3:44580918-44580941,,,,,
ICR_203*^,chr3:46558604-46558922,,,,,
ICR_204,chr3:48661163-48661239,ZFP57,ZFP57,,,
ICR_205,chr3:49984615-49984640,,,,,
ICR_206,chr3:50193735-50193801,,,,,
ICR_207,chr3:50481168-50481455,,,,,
ICR_208^,chr3:71694475-71695649,,,,,
ICR_209,chr3:72928978-72929098,,,,,
ICR_210^,chr3:75668913-75669631,,,,,
ICR_211,chr3:96776774-96777017,,,,,
ICR_212^,chr3:105882523-105882796,,,,,
ICR_213,chr3:119499238-119499379,,,,,
ICR_214*^,chr3:122660742-122660862,,,,,
ICR_215^,chr3:123392054-123392784,,,,,
ICR_216^,chr3:125596053-125596150,,,,,
ICR_217^,chr3:128152943-128153045,,,,,
ICR_218*^,chr3:128653427-128653781,ZFP57,ZFP445,,,
ICR_219^,chr3:128850048-128850116,,,,,
ICR_220^,chr3:132137120-132137290,,,,,
ICR_221*^,chr3:133472371-133472539,,,,,
ICR_222*^,chr3:133783815-133783983,,,,,
ICR_223,chr3:139020330-139020407,,,,,
ICR_224,chr3:139020541-139020685,,,,,
ICR_225,chr3:139044474-139044516,,,,,
ICR_226,chr3:139044727-139044832,,,,,
ICR_227*^,chr3:147297676-147298367,,,,,
ICR_228*^,chr3:150865529-150865545,,,,,
ICR_229^,chr3:156120781-156120929,,,,,
ICR_230^,chr3:184563668-184564356,,,,,
ICR_231,chr3:190964768-190965274,,,,,
ICR_232,chr3:192155034-192155319,,,,,
ICR_233*^,chr3:194985002-194985099,,,,,
ICR_234^,chr3:195657480-195657559,,,,,
ICR_235^,chr3:196202554-196202768,,,,,
ICR_236,chr4:946826-947059,,,,,
ICR_237^,chr4:1046483-1046702,,,,,
ICR_238*^,chr4:1050914-1051080,ZFP57,,,,
ICR_239,chr4:1053635-1054116,,,,,
ICR_240,chr4:1054960-1055444,,,,,
ICR_241*^,chr4:1729830-1729985,,,,,
ICR_242,chr4:2428432-2428625,,,,,
ICR_243*^,chr4:2463493-2463856,,,,,
ICR_244,chr4:3702565-3703061,,,,,
ICR_245,chr4:3744716-3744881,,,,,
ICR_246^,chr4:3771074-3771481,,,,,
ICR_247,chr4:4225388-4226028,,,,,
ICR_248^,chr4:4669027-4669135,,,,,
ICR_249,chr4:4863227-4864029,ZFP57,ZFP57,,,
ICR_250^,chr4:6105593-6105924,,,,,
ICR_251,chr4:8581258-8581331,,,,,
ICR_252,chr4:9758799-9758944,,ZFP445,,,
ICR_253,chr4:11369191-11369261,,,,,
ICR_254^,chr4:39406796-39407320,,,,,
ICR_255,chr4:41876102-41876861,,,,,
ICR_256^,chr4:48482621-48482980,ZFP57,,,,
ICR_257,chr4:49109121-49109481,,,,,
ICR_258,chr4:49166180-49166547,,,,,
ICR_259^,chr4:49177791-49178205,,,,,
ICR_260,chr4:49192403-49192770,,,,,
ICR_261,chr4:49229452-49230196,,,,,
ICR_262,chr4:49265753-49267308,,,,,
ICR_263,chr4:49270757-49270848,,,,,
ICR_264,chr4:49298644-49298769,,,,,
ICR_265,chr4:49603848-49604494,,,,,
ICR_266,chr4:49642753-49643262,,,,,
ICR_267,chr4:54149372-54149720,,,,,
ICR_268,chr4:55158026-55158180,,,,,
ICR_269,chr4:56592494-56592653,,,,,
ICR_270,chr4:62816669-62816883,,,,,
ICR_271^,chr4:73981863-73981993,,,,,
ICR_272,chr4:75886200-75886450,,,,,
ICR_273^,chr4:81153935-81154202,,,,,
ICR_274,chr4:82758740-82759068,,,,,
ICR_275^,chr4:88697244-88698085,ZFP57,,,,
ICR_276,chr4:91791367-91792040,,,,,
ICR_277^,chr4:104592591-104593731,,,,,
ICR_278,chr4:121932565-121932847,,,,,
ICR_279,chr4:127964172-127964235,,,,,
ICR_280,chr4:150809860-150809929,,,,,
ICR_281,chr4:152009424-152009915,,,,,
ICR_282,chr4:154781727-154782004,,,,,
ICR_283,chr4:163331221-163331460,,,,,
ICR_284^,chr4:173608770-173608942,,,,,
ICR_285^,chr4:182212369-182212795,,,,,
ICR_286,chr4:182346897-182347310,,,,,
ICR_287*^,chr4:184097251-184097401,,,,,
ICR_288,chr4:186189851-186190416,,,,,
ICR_289^,chr4:189810877-189811009,,,,,
ICR_290,chr4:190021742-190021948,,,,,
ICR_291,chr4:190022092-190022198,,,,,
ICR_292,chr4:190066841-190066973,,,,,
ICR_293,chr4:190085155-190085236,ZFP57,ZFP57,ZFP445,,
ICR_294,chr4:190085786-190085962,ZFP57,ZFP57,ZFP445,,
ICR_295,chr4:190089486-190089578,ZFP57,ZFP57,ZFP445,,
ICR_296,chr4:190091776-190091849,ZFP57,ZFP57,ZFP445,,
ICR_297^,chr5:346459-346789,,,,,
ICR_298^,chr5:415358-415697,,,,,
ICR_299,chr5:562044-562200,,ZFP445,,,
ICR_300,chr5:580390-580767,,,,,
ICR_301,chr5:1245747-1245898,,,,,
ICR_302,chr5:1295800-1295873,,,,,
ICR_303^,chr5:1725000-1725304,,,,,
ICR_304^,chr5:3300821-3301257,,,,,
ICR_305,chr5:3490977-3491228,,,,,
ICR_306^,chr5:8457195-8457623,,,,,
ICR_307,chr5:15096609-15096652,,,,,
ICR_308^,chr5:28927612-28928264,ZFP57,,,,
ICR_309,chr5:33937276-33937320,,,,,
ICR_310^,chr5:37208980-37209149,,,,,
ICR_311,chr5:45869231-45870958,,,,,
ICR_312,chr5:45956331-45957172,,,,,
ICR_313,chr5:46090381-46091444,,,,,
ICR_314*^,chr5:54985354-54985551,,,,,
ICR_315,chr5:55178062-55178152,,,,,
ICR_316,chr5:61816262-61816407,,,,,
ICR_317^,chr5:71851012-71851744,,,,,
ICR_318,chr5:79070007-79070129,,,,,
ICR_319^,chr5:80650716-80650931,,,,,
ICR_320^,chr5:93078599-93078980,,,,,
ICR_321*^,chr5:93603307-93603843,ZFP57,,,,
ICR_322,chr5:98839610-98839686,,,,,
ICR_323,chr5:101783627-101784015,,,,,
ICR_324,chr5:110894251-110894443,,,,,
ICR_325^,chr5:134927018-134927085,,,,,
ICR_326*^,chr5:136079156-136079563,,,,,
ICR_327^,chr5:136079902-136080957,,,,,
ICR_328,chr5:140787699-140787751,,,,,
ICR_329,chr5:140802885-140802957,,,,,
ICR_330,chr5:140808752-140808810,,,,,
ICR_331,chr5:140809262-140809383,,,,,
ICR_332,chr5:140829825-140830061,,,,,
ICR_333,chr5:140857946-140858024,,,,,
ICR_334,chr5:140877391-140877445,,,,,
ICR_335,chr5:140877578-140877663,,,,,
ICR_336,chr5:141242237-141242941,,,,,
ICR_337,chr5:141304191-141304290,,,,,
ICR_338,chr5:141332572-141332739,,,,,
ICR_339,chr5:141339675-141339766,,,,,
ICR_340,chr5:141345713-141345776,,,,,
ICR_341,chr5:141357041-141357110,,,,,
ICR_342,chr5:141375969-141376059,,,,,
ICR_343,chr5:141384677-141384771,,,,,
ICR_344,chr5:141441693-141441739,,,,,
ICR_345^,chr5:148320801-148320873,,,,,
ICR_346,chr5:156850521-156850587,,,,,
ICR_347*^,chr5:157690422-157690546,ZFP57,,,,
ICR_348,chr5:157690810-157691003,ZFP57,,,,
ICR_349,chr5:158737352-158737526,,,,,
ICR_350,chr5:169636668-169636916,,,,,
ICR_351^,chr5:170252002-170253184,,,,,
ICR_352,chr5:171319025-171319892,,,,,
ICR_353,chr5:172602845-172603197,,,,,
ICR_354*^,chr5:172669973-172670257,,,,,
ICR_355*^,chr5:174307035-174307309,,,,,
ICR_356^,chr5:174728525-174729356,,,,,
ICR_357*^,chr5:176533712-176534104,,,,,
ICR_358,chr5:176785238-176785536,,,,,
ICR_359,chr5:176847082-176847171,,,,,
ICR_360^,chr5:179167525-179167654,,,,,
ICR_361*^,chr5:180313866-180314305,ZFP57,,,,
ICR_362,chr5:181070516-181070836,,,,,
ICR_363,chr5:181165042-181165201,,,,,
ICR_364,chr5:181195548-181195743,,,,,
ICR_365^,chr6:2902061-2902302,ZFP57,,,,
ICR_366*^#,chr6:3848794-3850307,ZFP57,,,,
ICR_367^,chr6:10099407-10099822,,,,,
ICR_368^,chr6:10719974-10720222,,,,,
ICR_369,chr6:13743286-13743421,,,,,
ICR_370,chr6:17580224-17580357,,,,,
ICR_371,chr6:18019754-18019871,,,,,
ICR_372*^,chr6:27050175-27050547,,,,,
ICR_373,chr6:27556793-27556990,,,,,
ICR_374,chr6:27653092-27653518,,,,,
ICR_375,chr6:27678994-27679178,,,,,
ICR_376,chr6:27827550-27827724,ZFP57,ZFP57,,,
ICR_377,chr6:28215873-28216059,ZFP57,,,,
ICR_378^,chr6:28633523-28634104,,,,,
ICR_379^,chr6:28695689-28695979,,,,,
ICR_380,chr6:28742326-28742467,,,,,
ICR_381*^,chr6:28984825-28984972,,,,,
ICR_382*^,chr6:29014836-29015081,ZFP57,,,,
ICR_383,chr6:29681034-29681124,,,,,
ICR_384,chr6:30452078-30452687,,,,,
ICR_385^,chr6:30781799-30782146,,,,,
ICR_386^,chr6:30914814-30915097,,,,,
ICR_387,chr6:31971329-31971620,,,,,
ICR_388^,chr6:32131303-32131374,,,,,
ICR_389,chr6:32761693-32761864,,,,,
ICR_390*^,chr6:32885680-32886046,,,,,
ICR_391^,chr6:33697197-33697381,,,,,
ICR_392*,chr6:35786951-35787246,,,,,
ICR_393^,chr6:39367315-39368095,,,,,
ICR_394^,chr6:41627093-41627387,,,,,
ICR_395^,chr6:42727577-42727793,ZFP57,,,,
ICR_396,chr6:57810795-57811153,,,,,
ICR_397*^,chr6:77368678-77369083,,,,,
ICR_398,chr6:99823198-99823660,,,,,
ICR_399^,chr6:104885426-104885717,,,,,
ICR_400*^,chr6:111662711-111663342,ZFP57,,,,
ICR_401,chr6:112366898-112367109,ZFP57,,,,
ICR_402,chr6:112367498-112367712,,,,,
ICR_403^,chr6:129172756-129173045,,,,,
ICR_404^#,chr6:144006941-144008825,ZFP57,,,,
ICR_405,chr6:144186986-144187105,,,,,
ICR_406^,chr6:146803701-146803860,ZFP57,,,,
ICR_407,chr6:149986298-149986661,,,,,
ICR_408^,chr6:154359181-154360192,,,,,
ICR_409,chr6:160005401-160005610,ZFP57,,,,
ICR_410^,chr6:160006184-160006584,ZFP57,,,,
ICR_411^,chr6:163355423-163355849,,,,,
ICR_412,chr6:166758163-166758556,,,,,
ICR_413,chr6:167196311-167197315,,,,,
ICR_414^,chr6:167341434-167342866,,,,,
ICR_415^,chr6:167349763-167350130,,,,,
ICR_416^,chr6:167667943-167668201,,,,,
ICR_417^,chr6:168035599-168035887,,,,,
ICR_418*,chr6:168417326-168417653,,,,,
ICR_419,chr6:168638540-168638869,,,,,
ICR_420*^,chr6:169421049-169421128,,,,,
ICR_421*^,chr6:169654761-169654900,,,,,
ICR_422^,chr6:170286029-170286332,,,,,
ICR_423*^,chr6:170423032-170423404,,,,,
ICR_424*^,chr7:31403-31557,,,,,
ICR_425,chr7:291320-291450,,ZFP445,,,
ICR_426^,chr7:343522-343641,,,,,
ICR_427^,chr7:360518-360693,,,,,
ICR_428,chr7:421345-421408,,,,,
ICR_429,chr7:1041228-1041314,ZFP57,ZFP57,,,
ICR_430^,chr7:1159057-1159224,,,,,
ICR_431^,chr7:1592600-1592972,,,,,
ICR_432,chr7:1663342-1663514,,,,,
ICR_433,chr7:1854262-1854393,ZFP57,,,,
ICR_434*^,chr7:2019844-2020175,,,,,
ICR_435^,chr7:2665066-2665200,,,,,
ICR_436*^,chr7:3089399-3089604,,,,,
ICR_437^,chr7:4101908-4102617,,,,,
ICR_438*^,chr7:4739360-4739913,,,,,
ICR_439*^,chr7:5144439-5144757,,,,,
ICR_440^,chr7:16464182-16464644,,,,,
ICR_441,chr7:19194875-19195144,,,,,
ICR_442^,chr7:22821364-22821611,,,,,
ICR_443^,chr7:23490490-23491453,ZFP57,,,,
ICR_444,chr7:25866370-25866563,,,,,
ICR_445^,chr7:26593585-26593990,,,,,
ICR_446*^,chr7:28529301-28530933,,,,,
ICR_447,chr7:32763314-32763459,,,,,
ICR_448^,chr7:32905942-32906069,,,,,
ICR_449,chr7:34905972-34906557,,,,,
ICR_450,chr7:39834493-39834768,,ZFP445,,,
ICR_451^,chr7:41990814-41991507,,,,,
ICR_452^,chr7:45564015-45564354,,,,,
ICR_453^,chr7:47576623-47576932,,,,,
ICR_454*^#,chr7:50781638-50783354,ZFP57,,,,
ICR_455,chr7:55005217-55005455,,,,,
ICR_456^,chr7:55774811-55775090,,,,,
ICR_457,chr7:56508815-56510506,,,,,
ICR_458,chr7:56605244-56605356,,,,,
ICR_459,chr7:57325717-57326749,,,,,
ICR_460,chr7:57424516-57424553,,,,,
ICR_461,chr7:58074538-58076031,,,,,
ICR_462,chr7:60945007-60945409,,,,,
ICR_463,chr7:61084697-61086368,,,,,
ICR_464,chr7:62276176-62276296,,,,,
ICR_465,chr7:62379353-62379440,,,,,
ICR_466,chr7:62379749-62379858,,,,,
ICR_467,chr7:63931261-63931288,,,,,
ICR_468^,chr7:67772905-67773321,,,,,
ICR_469,chr7:69233760-69233973,,,,,
ICR_470^,chr7:73330191-73330782,,,,,
ICR_471^,chr7:73345069-73346101,,,,,
ICR_472,chr7:76047075-76047217,,,,,
ICR_473^,chr7:76150206-76150703,,,,,
ICR_474*^,chr7:76499727-76499956,,,,,
ICR_475*^,chr7:94656360-94658647,,,,,
ICR_476,chr7:100482861-100482979,,,,,
ICR_477*^,chr7:102441702-102441973,,,,,
ICR_478^,chr7:103146271-103147608,,,,,
ICR_479,chr7:108003883-108003977,ZFP57,,,,
ICR_480^,chr7:127587705-127587806,,,,,
ICR_481*^#,chr7:130490640-130494200,ZFP57,ZFP57,ZFP445,ZFP445,
ICR_482^,chr7:132436227-132436368,,,,,
ICR_483^,chr7:137753320-137753978,,,,,
ICR_484^,chr7:138664218-138664771,,ZFP445,,,
ICR_485,chr7:143511187-143511662,,,,,
ICR_486^,chr7:149191062-149191272,,,,,
ICR_487^,chr7:150111840-150112171,,,,,
ICR_488,chr7:152553885-152553929,,,,,
ICR_489,chr7:152910856-152911190,,,,,
ICR_490*^,chr7:154892532-154892702,,,,,
ICR_491,chr7:155071148-155071376,,,,,
ICR_492,chr7:155383638-155384080,ZFP57,,,,
ICR_493,chr7:155796475-155796717,,,,,
ICR_494,chr7:156942573-156942686,,,,,
ICR_495^,chr7:156948793-156948844,ZFP57,,,,
ICR_496^,chr7:157613781-157614069,ZFP57,ZFP57,,,
ICR_497,chr7:158164299-158164379,,,,,
ICR_498*^,chr7:158973581-158973792,ZFP57,ZFP57,,,
ICR_499^,chr7:158996856-158997515,ZFP57,ZFP57,,,
ICR_500,chr7:159112595-159112828,,,,,
ICR_501,chr8:266760-266871,,,,,
ICR_502,chr8:828261-828821,,,,,
ICR_503,chr8:882678-883012,ZFP57,,,,
ICR_504*^,chr8:947055-947158,,,,,
ICR_505^,chr8:1373020-1373561,,,,,
ICR_506*^,chr8:1548800-1548981,,,,,
ICR_507,chr8:1816612-1816668,,,,,
ICR_508^,chr8:2727637-2727760,,,,,
ICR_509,chr8:6835991-6836189,,,,,
ICR_510,chr8:8703090-8703190,ZFP57,,,,
ICR_511*^,chr8:10726381-10726606,,,,,
ICR_512,chr8:12537464-12537632,,,,,
ICR_513,chr8:16944318-16944618,,,,,
ICR_514,chr8:17248325-17248464,,,,,
ICR_515,chr8:22118860-22119045,,,,,
ICR_516,chr8:22696910-22697886,,,,,
ICR_517,chr8:27451272-27451531,,,,,
ICR_518*^,chr8:27472461-27472768,,,,,
ICR_519,chr8:27592886-27593135,,,,,
ICR_520^,chr8:29401757-29402242,,,,,
ICR_521*^,chr8:30913081-30913176,,,,,
ICR_522^,chr8:37699369-37699633,,,,,
ICR_523^,chr8:37747687-37748265,,,,,
ICR_524,chr8:38383668-38383854,,,,,
ICR_525,chr8:43489686-43491049,,,,,
ICR_526,chr8:43815675-43816549,,,,,
ICR_527,chr8:46918223-46918380,,,,,
ICR_528^,chr8:47763160-47763510,,,,,
ICR_529,chr8:53712396-53712494,,,,,
ICR_530,chr8:54469228-54469434,ZFP57,,,,
ICR_531^,chr8:56117670-56117858,,,,,
ICR_532,chr8:57142945-57143502,ZFP57,,,,
ICR_533,chr8:57280020-57280373,ZFP57,,,,
ICR_534*^,chr8:60713942-60714366,,,,,
ICR_535^,chr8:65166236-65166399,,,,,
ICR_536^,chr8:69690060-69690369,,,,,
ICR_537^,chr8:72074820-72075145,,,,,
ICR_538*^,chr8:92627659-92628162,,,,,
ICR_539*^,chr8:94119578-94120523,,,,,
ICR_540^,chr8:101108707-101109141,,,,,
ICR_541*^,chr8:101277219-101278202,,,,,
ICR_542*^,chr8:102528555-102528786,,,,,
ICR_543^,chr8:104367348-104367629,,,,,
ICR_544^,chr8:108139804-108140486,,,,,
ICR_545,chr8:110202766-110202966,,,,,
ICR_546^,chr8:122721576-122721969,,,,,
ICR_547*^,chr8:135457371-135457395,,,,,
ICR_548*^,chr8:140098048-140100981,ZFP57,ZFP57,ZFP445,ZFP445,
ICR_549,chr8:140349279-140349564,,,,,
ICR_550,chr8:141723822-141724064,,,,,
ICR_551*^,chr8:142700449-142700581,ZFP57,,,,
ICR_552*^,chr8:143276904-143277146,ZFP57,ZFP57,,,
ICR_553,chr8:143399766-143399977,,,,,
ICR_554,chr8:143420516-143420723,,,,,
ICR_555^,chr8:143728031-143728348,ZFP57,ZFP445,,,
ICR_556,chr8:143772211-143772259,ZFP57,,,,
ICR_557*^,chr8:143934133-143934333,,,,,
ICR_558^,chr8:144429035-144429244,,,,,
ICR_559^,chr9:9557059-9558061,,,,,
ICR_560^,chr9:20658358-20658783,,,,,
ICR_561^,chr9:21997429-22000964,,,,,
ICR_562*^,chr9:35036051-35036291,,,,,
ICR_563,chr9:37800197-37800386,,,,,
ICR_564,chr9:38487573-38487989,,,,,
ICR_565,chr9:38526772-38526937,,,,,
ICR_566,chr9:40106359-40106534,,,,,
ICR_567,chr9:40584159-40584282,,,,,
ICR_568,chr9:40584494-40584535,,,,,
ICR_569,chr9:41237465-41237605,,,,,
