ID,Genomic Coordinates,Parental Origin of Methylation,Nearest Transcript,Distance to Nearest Transcript
ICR_58,chr1:125126341-125127474,,PPIAL4F,1.00E+08
ICR_59,chr1:144547463-144547582,,PPIAL4F,45286
ICR_60,chr1:144642001-144642148,,LINC01632,0
ICR_61,chr1:144813474-144813505,,LSP1P5,72668
ICR_62,chr1:148011459-148011977,P,PDZK1P1|LINC02804,0
ICR_63,chr1:148354878-148355291,,MIR5087,20324
ICR_64^,chr1:156216551-156216822,,PMF1,0
ICR_65,chr1:156840564-156840978,P,NTRK1|INSRR,0
ICR_66,chr1:157278910-157279545,M**,LINC02772,0
ICR_67,chr1:161442725-161442826,,FCGR2A,62604
ICR_68,chr1:161449348-161449576,,FCGR2A,55854
ICR_69,chr1:161458396-161458728,,FCGR2A,46702
ICR_70,chr1:161472562-161472609,,FCGR2A,32821
ICR_71,chr1:164087963-164088420,,NMNAT1P2,254532
ICR_72,chr1:166343070-166343120,M**,FMO7P,131625
ICR_73,chr1:168056307-168056468,M,DCAF6|GCSHP5,0
ICR_74,chr1:175505315-175505505,,TNR,0
ICR_75^,chr1:176313754-176314036,,MORF4L1P7,53670
ICR_76^,chr1:179586745-179586852,M**,TDRD5,4761
ICR_77^,chr1:180935406-180935498,M**,KIAA1614,0
ICR_78^,chr1:203076164-203076460,,PPFIA4,0
ICR_79^,chr1:203861024-203861206,M**,SNRPE,393
ICR_80*^,chr1:204829545-204831249,P,NFASC,0
ICR_81^,chr1:208044765-208045294,P,PLXNA2,0
ICR_82^,chr1:209645908-209646203,P**,LAMB3,0
ICR_83^,chr1:226127234-226127411,P,ACBD3,17268
ICR_84,chr1:227558329-227558593,,RNA5SP77,2588
ICR_85^,chr1:228174003-228174086,,IBA57,0
ICR_86,chr1:228470749-228471025,M**,H2BU2P,6174
ICR_87,chr1:228617766-228617825,,RNA5S4,657
ICR_88,chr1:228619143-228619258,,RNA5S5,0
ICR_89^,chr1:228620967-228621017,,RNA5S6,428
ICR_90^,chr1:228622208-228622303,,RNA5S6,643
ICR_91,chr1:228625042-228625229,,RNA5S8,678
ICR_92^,chr1:228632865-228633148,,RNA5S11,116
ICR_93^,chr1:228635189-228635657,,RNA5S12,200
ICR_94,chr1:228636250-228636431,,RNA5S13,663
ICR_95^,chr1:228637728-228637831,,RNA5S13,514
ICR_96^,chr1:228754271-228755024,,RHOU,7602
ICR_97,chr1:228755198-228755269,,RHOU,8529
ICR_98*^,chr1:234231622-234231851,,SLC35F3,0
ICR_99^,chr1:234356908-234357513,,RPS15P2,0
ICR_100^,chr1:234955629-234956306,P,RN7SL668P,51141
ICR_101^,chr1:236120016-236120293,P,GPR137B,22236
ICR_102*^,chr1:240492941-240493380,,GREM2,0
ICR_103*^,chr1:243101535-243101819,,LINC01347,0
ICR_104,chr1:243916707-243916919,,LINC02774,483
ICR_105,chr1:244048598-244048661,,ZBTB18,278
ICR_106^,chr1:244729465-244729883,,DESI2,20432
ICR_107,chr1:245688553-245688677,M,KIF26B,0
ICR_108,chr1:247518137-247518222,,GCSAML,0
ICR_109,chr1:247530969-247531234,,GCSAML|OR2C3,0
ICR_110,chr1:248692088-248692168,,LYPD9P,4894
ICR_111,chr2:11106-11299,M**,SH3YL1,206837
ICR_112,chr2:636482-636639,,TMEM18,27238
ICR_113,chr2:730278-730395,M**,LINC01115,49445
ICR_114*^,chr2:25161155-25161328,M**,POMC,0
ICR_115*,chr2:26728575-26728788,,KCNK3,0
ICR_116^,chr2:28342638-28342806,P,BABAM2,3737
ICR_117,chr2:31581451-31581676,M,SRD5A2,0
ICR_118^,chr2:36240518-36240688,,RPL21P36,58671
ICR_119^,chr2:39243625-39244106,,CDKL4,0
ICR_120^,chr2:42961751-42962095,,LINC01819,65758
ICR_121^,chr2:44885640-44886022,P,LINC01833,35058
ICR_122^,chr2:44947693-44949267,,SIX3,1622
ICR_123^,chr2:49229257-49229842,P,FSHR,74730
ICR_124^,chr2:53961656-53961932,P**,PSME4,0
ICR_125,chr2:54289850-54290281,M,ACYP2,0
ICR_126^,chr2:68679047-68679733,,PROKR1,20796
ICR_127,chr2:90245081-90245412,,IGK,9713
ICR_128,chr2:91414357-91414491,,LSP1P4,222192
ICR_129,chr2:91459090-91459930,,LSP1P4,176753
ICR_130,chr2:91748715-91748860,,GGT8P,26482
ICR_131,chr2:91940731-91945010,,ACTR3BP2,0
ICR_132,chr2:91974862-91974933,,CHEK2P3,11250
ICR_133^,chr2:95078802-95079392,P,MRPS5,5977
ICR_134,chr2:97724050-97724186,,ZAP70,0
ICR_135^,chr2:98822248-98822374,,KIAA1211L,0
ICR_136,chr2:105180733-105181408,M**,LINC01918,35309
ICR_137,chr2:105236991-105237239,M**,GPR45,4504
ICR_138,chr2:106584530-106584661,,CD8B2,40233
ICR_139,chr2:107132074-107132624,,LINC01789,128076
ICR_140^,chr2:112433099-112433213,,RGPD8,0
ICR_141*^,chr2:117859040-117859178,,HTR5BP,249
ICR_142*^,chr2:119350054-119351113,,C2orf76,0
ICR_143^,chr2:119430482-119430908,,TMEM37,0
ICR_144,chr2:120526146-120526533,P,LINC01101,59797
ICR_145,chr2:121076853-121076911,,GLI2,84200
ICR_146*^,chr2:127695526-127695730,,WDR33,5297
ICR_147^,chr2:128493617-128493806,,ISCA1P6,23483
ICR_148^,chr2:128607622-128608057,,ISCA1P6,88365
ICR_149^,chr2:128901753-128902169,,LINC01854,340004
ICR_150*^,chr2:129587442-129587521,,PPIAP65,90654
ICR_151*,chr2:130036983-130037204,M**,FAR2P1,0
ICR_152^,chr2:130037808-130038132,,FAR2P1|KLF2P1,0
ICR_153,chr2:131647235-131647405,,LINC01087|GRAMD4P8,0
ICR_154^,chr2:131724040-131724118,,C2orf27A|NBEAP2|TOMM40P4,0
ICR_155^,chr2:131724345-131724375,,C2orf27A|NBEAP2|TOMM40P4,0
ICR_156^,chr2:132273072-132273187,,RNA28SP,6247
ICR_157,chr2:149320367-149320581,,FAM8A3P,0
ICR_158,chr2:161340716-161341095,M,PSMD14|MXRA7P1,0
ICR_159^,chr2:162243085-162244421,P,FAP,0
ICR_160,chr2:163026310-163026448,,RPL7P61,125803
ICR_161^,chr2:173217299-173217391,M,MAP3K20,0
ICR_162^,chr2:179429150-179429367,,ZNF385B,12615
ICR_163*^,chr2:181574336-181575348,,CERKL,0
ICR_164^,chr2:201139399-201139980,,CFLAR,0
ICR_165^,chr2:206250433-206252905,,HMGN1P6,6723
ICR_166,chr2:206253064-206254113,,HMGN1P6,5515
ICR_167^,chr2:206257411-206257639,P,HMGN1P6,1989
ICR_168,chr2:206257801-206258345,P,HMGN1P6,1283
ICR_169*,chr2:206258596-206260336,P,HMGN1P6|RN7SKP260,0
ICR_170*,chr2:206260650-206261209,P,RN7SKP260,436
ICR_171,chr2:206262500-206263975,,RN7SKP260,2286
ICR_172,chr2:206264112-206264458,,RN7SKP260,3898
ICR_173,chr2:206267203-206267661,,ZDBF2,5911
ICR_174,chr2:206268137-206268603,,ZDBF2,4969
ICR_175,chr2:206269730-206270167,,ZDBF2,3405
ICR_176,chr2:206272290-206272946,,ZDBF2,626
ICR_177,chr2:218890039-218890255,P,WNT10A,0
ICR_178^,chr2:229180860-229180972,,PID1,0
ICR_179,chr2:230849889-230849990,M**,ITM2C,14195
ICR_180^,chr2:230991059-230991241,,SPATA3,4883
ICR_181,chr2:232409725-232409943,M**,ALPG,0
ICR_182^,chr2:234168141-234168738,P,SPP2,91007
ICR_183^,chr2:235503242-235503454,P**,AGAP1,0
ICR_184*^,chr2:236642778-236643076,P,ACKR3,60420
ICR_185,chr2:236803775-236804140,,ACKR3,221417
ICR_186^,chr2:237156450-237156745,,COPS8,55976
ICR_187*^,chr2:241901656-241902337,M,LINC01237,0
ICR_188,chr2:241902453-241902725,M,LINC01237,0
ICR_189,chr2:241936452-241936540,,LINC01237,0
ICR_190^,chr2:242088455-242088503,,LINC01881,130
ICR_191,chr3:147595-148344,P,CHL1,48244
ICR_192,chr3:8679127-8679350,,SSUH2,0
ICR_193^,chr3:12768912-12768970,,TMEM40,0
ICR_194^,chr3:14366359-14366571,P,LINC01267,13791
ICR_195,chr3:15333009-15333079,,SH3BP5,0
ICR_196^,chr3:23918444-23918675,,RPL15,0
ICR_197^,chr3:24303492-24303789,,THRB,0
ICR_198,chr3:28200466-28200710,M,CMC1,40883
ICR_199,chr3:30893926-30894319,M,GADL1,0
ICR_200*^,chr3:39502701-39502946,,MOBP,0
ICR_201^,chr3:42936229-42936568,,KRBOX1,0
ICR_202,chr3:44580918-44580941,P,ZKSCAN7|MPRIPP1,0
ICR_203*^,chr3:46558604-46558922,M**,LRRC2,0
ICR_204,chr3:48661163-48661239,M**,CELSR3,0
ICR_205,chr3:49984615-49984640,,RBM6,0
ICR_206,chr3:50193735-50193801,M**,GNAT1,0
ICR_207,chr3:50481168-50481455,P,CACNA2D2,0
ICR_208^,chr3:71694475-71695649,P**,EIF4E3,0
ICR_209,chr3:72928978-72929098,M,GXYLT2|FTH1P23,0
ICR_210^,chr3:75668913-75669631,,DUX4L26,0
ICR_211,chr3:96776774-96777017,,CDV3P1,0
ICR_212^,chr3:105882523-105882796,,CBLB,12971
ICR_213,chr3:119499238-119499379,,TIMMDC1,0
ICR_214*^,chr3:122660742-122660862,,EIF4BP8,0
ICR_215^,chr3:123392054-123392784,P**,ADCY5,0
ICR_216^,chr3:125596053-125596150,M**,OSBPL11,556
ICR_217^,chr3:128152943-128153045,,RUVBL1,0
ICR_218*^,chr3:128653427-128653781,,RPN1,2609
ICR_219^,chr3:128850048-128850116,P**,MARK3P3,637
ICR_220^,chr3:132137120-132137290,,CPNE4,0
ICR_221*^,chr3:133472371-133472539,,BFSP2,0
ICR_222*^,chr3:133783815-133783983,M**,TF,0
ICR_223,chr3:139020330-139020407,M**,PRR23B,0
ICR_224,chr3:139020541-139020685,,PRR23B,0
ICR_225,chr3:139044474-139044516,,PRR23C,0
ICR_226,chr3:139044727-139044832,M**,PRR23C,0
ICR_227*^,chr3:147297676-147298367,P,RPL21P71,20389
ICR_228*^,chr3:150865529-150865545,M,MINDY4B,4831
ICR_229^,chr3:156120781-156120929,M,KCNAB1,0
ICR_230^,chr3:184563668-184564356,P,EPHB3,0
ICR_231,chr3:190964768-190965274,,GMNC,100568
ICR_232,chr3:192155034-192155319,,FGF12,0
ICR_233*^,chr3:194985002-194985099,,XXYLT1,81871
ICR_234^,chr3:195657480-195657559,,SDHAP2,480
ICR_235^,chr3:196202554-196202768,,ZDHHC19,0
ICR_236,chr4:946826-947059,P**,TMEM175,0
ICR_237^,chr4:1046483-1046702,,RNF212,9546
ICR_238*^,chr4:1050914-1051080,,RNF212,5168
ICR_239,chr4:1053635-1054116,P,RNF212,2132
ICR_240,chr4:1054960-1055444,,RNF212,804
ICR_241*^,chr4:1729830-1729985,,TACC3,0
ICR_242,chr4:2428432-2428625,,CFAP99,0
ICR_243*^,chr4:2463493-2463856,M,CFAP99,530
ICR_244,chr4:3702565-3703061,P,LINC02171,24710
ICR_245,chr4:3744716-3744881,,LINC02600,13867
ICR_246^,chr4:3771074-3771481,P,ADRA2C,2548
ICR_247,chr4:4225388-4226028,,OTOP1,0
ICR_248^,chr4:4669027-4669135,,SNORD162,4604
ICR_249,chr4:4863227-4864029,M,MSX1,0
ICR_250^,chr4:6105593-6105924,M,JAKMIP1,0
ICR_251,chr4:8581258-8581331,M,GPR78,0
ICR_252,chr4:9758799-9758944,,OR7E35P,2993
ICR_253,chr4:11369191-11369261,,RNPS1P1,0
ICR_254^,chr4:39406796-39407320,P,KLB,0
ICR_255,chr4:41876102-41876861,P,LINC00682,2660
ICR_256^,chr4:48482621-48482980,,SLC10A4,363
ICR_257,chr4:49109121-49109481,,CWH43,47042
ICR_258,chr4:49166180-49166547,,SNX18P23,66368
ICR_259^,chr4:49177791-49178205,,SNX18P23,54710
ICR_260,chr4:49192403-49192770,,SNX18P23,40145
ICR_261,chr4:49229452-49230196,,SNX18P23,2719
ICR_262,chr4:49265753-49267308,,MTND3P22,18838
ICR_263,chr4:49270757-49270848,M,MTND3P22,23842
ICR_264,chr4:49298644-49298769,M**,MTND3P22,51729
ICR_265,chr4:49603848-49604494,,SNX18P25,14120
ICR_266,chr4:49642753-49643262,,SNX18P25,53025
ICR_267,chr4:54149372-54149720,,GSX2,46874
ICR_268,chr4:55158026-55158180,,KDR,32431
ICR_269,chr4:56592494-56592653,,THEGL|GLDCP1,0
ICR_270,chr4:62816669-62816883,,EXOC5P1,0
ICR_271^,chr4:73981863-73981993,,PF4,0
ICR_272,chr4:75886200-75886450,,PPEF2,0
ICR_273^,chr4:81153935-81154202,,PRKG2,0
ICR_274,chr4:82758740-82759068,P,SCD5,0
ICR_275^,chr4:88697244-88698085,M,HERC3|NAP1L5,0
ICR_276,chr4:91791367-91792040,,KRT19P6,93006
ICR_277^,chr4:104592591-104593731,,CXXC4,97624
ICR_278,chr4:121932565-121932847,M,TRPC3,0
ICR_279,chr4:127964172-127964235,,MFSD8,0
ICR_280,chr4:150809860-150809929,,LRBA,0
ICR_281,chr4:152009424-152009915,P,RNA5SP169,37811
ICR_282,chr4:154781727-154782004,M,RBM46,0
ICR_283,chr4:163331221-163331460,,NPY1R,0
ICR_284^,chr4:173608770-173608942,P,MORF4,6794
ICR_285^,chr4:182212369-182212795,,TENM3,0
ICR_286,chr4:182346897-182347310,,TENM3,0
ICR_287*^,chr4:184097251-184097401,M**,ENPP6,0
ICR_288,chr4:186189851-186190416,,FLJ38576,0
ICR_289^,chr4:189810877-189811009,M**,LINC01596,70506
ICR_290,chr4:190021742-190021948,,DUX4L9,0
ICR_291,chr4:190022092-190022198,,DUX4L9,0
ICR_292,chr4:190066841-190066973,M**,DBET,0
ICR_293,chr4:190085155-190085236,,DUX4L1,0
ICR_294,chr4:190085786-190085962,M**,DUX4L1,90
ICR_295,chr4:190089486-190089578,M,DUX4L3,497
ICR_296,chr4:190091776-190091849,,DUX4L2,0
ICR_297^,chr5:346459-346789,M,AHRR,0
ICR_298^,chr5:415358-415697,,AHRR,0
ICR_299,chr5:562044-562200,,MIR4456,26162
ICR_300,chr5:580390-580767,P,CEP72,31573
ICR_301,chr5:1245747-1245898,,SLC6A18,0
ICR_302,chr5:1295800-1295873,,TERT,732
ICR_303^,chr5:1725000-1725304,,MIR4277,16132
ICR_304^,chr5:3300821-3301257,,LINC01019,115895
ICR_305,chr5:3490977-3491228,,LINC01019,0
ICR_306^,chr5:8457195-8457623,,LINC02226,0
ICR_307,chr5:15096609-15096652,M**,LINC02149,94994
ICR_308^,chr5:28927612-28928264,,LSP1P3,299
ICR_309,chr5:33937276-33937320,,RXFP3,0
ICR_310^,chr5:37208980-37209149,,CPLANE1|OFD1P17,0
ICR_311,chr5:45869231-45870958,,HCN1,172851
ICR_312,chr5:45956331-45957172,,HCN1,259951
ICR_313,chr5:46090381-46091444,,HCN1,394001
ICR_314*^,chr5:54985354-54985551,M**,ESM1,0
ICR_315,chr5:55178062-55178152,M**,CDC20B,4885
ICR_316,chr5:61816262-61816407,,C5orf64,85265
ICR_317^,chr5:71851012-71851744,,CARTPT,129967
ICR_318,chr5:79070007-79070129,M**,BHMT2,0
ICR_319^,chr5:80650716-80650931,P,DHFR|MTRNR2L2,0
ICR_320^,chr5:93078599-93078980,,LINC02058,138813
ICR_321*^,chr5:93603307-93603843,M**,NR2F1,8694
ICR_322,chr5:98839610-98839686,,CSNK1A1P3,5702
ICR_323,chr5:101783627-101784015,M,OR7H2P,31868
ICR_324,chr5:110894251-110894443,M,BCLAF1P1,51830
ICR_325^,chr5:134927018-134927085,P,PCBD2|MTND4P12,0
ICR_326*^,chr5:136079156-136079563,M,TGFBI,15338
ICR_327^,chr5:136079902-136080957,M**,TGFBI,16084
ICR_328,chr5:140787699-140787751,M**,PCDHA1,0
ICR_329,chr5:140802885-140802957,,PCDHA1-3,0
ICR_330,chr5:140808752-140808810,,PCDHA1-4,0
ICR_331,chr5:140809262-140809383,,PCDHA1-4,0
ICR_332,chr5:140829825-140830061,M,PCDHA1-6,0
ICR_333,chr5:140857946-140858024,M**,PCDHA1-10,0
ICR_334,chr5:140877391-140877445,M**,PCDHA1-12,0
ICR_335,chr5:140877578-140877663,M**,PCDHA1-12,0
ICR_336,chr5:141242237-141242941,M**,PCDHB19P,0
ICR_337,chr5:141304191-141304290,,SLC25A2,142
ICR_338,chr5:141332572-141332739,,PCDHGA1,0
ICR_339,chr5:141339675-141339766,M**,PCDHGA1-2,0
ICR_340,chr5:141345713-141345776,M,PCDHGA1-3,0
ICR_341,chr5:141357041-141357110,M**,PCDHGA1-4,0
ICR_342,chr5:141375969-141376059,M**,PCDHGA1-6|PCDHGB1-3,0
ICR_343,chr5:141384677-141384771,,PCDHGA1-7|PCDHGB1-3,0
ICR_344,chr5:141441693-141441739,M**,PCDHGA1-12|PCDHGB1-7|PCDHGB9P,0
ICR_345^,chr5:148320801-148320873,,SPINK9,2346
ICR_346,chr5:156850521-156850587,,PPP1R2B,0
ICR_347*^,chr5:157690422-157690546,,SOX30P1,0
ICR_348,chr5:157690810-157691003,M**,SOX30P1,0
ICR_349,chr5:158737352-158737526,M,EBF1,0
ICR_350,chr5:169636668-169636916,M**,DOCK2,331
ICR_351^,chr5:170252002-170253184,,C5orf58|LCP2,0
ICR_352,chr5:171319025-171319892,P,TLX3,6886
ICR_353,chr5:172602845-172603197,P,NEURL1B,38066
ICR_354*^,chr5:172669973-172670257,,NEURL1B,0
ICR_355*^,chr5:174307035-174307309,,LINC01411,29045
ICR_356^,chr5:174728525-174729356,,MSX2,0
ICR_357*^,chr5:176533712-176534104,P**,RNF44,0
ICR_358,chr5:176785238-176785536,P,UNC5A,25023
ICR_359,chr5:176847082-176847171,M**,UNC5A,0
ICR_360^,chr5:179167525-179167654,M,ADAMTS2,0
ICR_361*^,chr5:180313866-180314305,M**,GFPT2,0
ICR_362,chr5:181070516-181070836,,RPL13P10,4836
ICR_363,chr5:181165042-181165201,M**,OR2V2,9152
ICR_364,chr5:181195548-181195743,,TRIM7,0
ICR_365^,chr6:2902061-2902302,,SERPINB9,0
ICR_366*^#,chr6:3848794-3850307,M,FAM50B,0
ICR_367^,chr6:10099407-10099822,,OFCC1,0
ICR_368^,chr6:10719974-10720222,,TMEM14C,2693
ICR_369,chr6:13743286-13743421,,RANBP9,31451
ICR_370,chr6:17580224-17580357,,SUMO2P13,1677
ICR_371,chr6:18019754-18019871,,KIF13A,32119
ICR_372*^,chr6:27050175-27050547,,VN1R13P,9823
ICR_373,chr6:27556793-27556990,,CD83P1,3641
ICR_374,chr6:27653092-27653518,,RPL8P1,359
ICR_375,chr6:27678994-27679178,,LINC01012,14857
ICR_376,chr6:27827550-27827724,M,H4C11,3070
ICR_377,chr6:28215873-28216059,P**,TOB2P1,0
ICR_378^,chr6:28633523-28634104,,LINC00533,14182
ICR_379^,chr6:28695689-28695979,,RPSAP2,35960
ICR_380,chr6:28742326-28742467,M,RPSAP2,9352
ICR_381*^,chr6:28984825-28984972,,HCG15,0
ICR_382*^,chr6:29014836-29015081,,ZNF311,9168
ICR_383,chr6:29681034-29681124,,ZFP57,0
ICR_384,chr6:30452078-30452687,,TMPOP1,13538
ICR_385^,chr6:30781799-30782146,P,HCG20,0
ICR_386^,chr6:30914814-30915097,,VARS2,0
ICR_387,chr6:31971329-31971620,M**,DXO|STK19,0
ICR_388^,chr6:32131303-32131374,,FKBPL,1015
ICR_389,chr6:32761693-32761864,,MIR3135B,11714
ICR_390*^,chr6:32885680-32886046,,PPP1R2P1,5606
ICR_391^,chr6:33697197-33697381,P**,UQCC2,0
ICR_392*,chr6:35786951-35787246,M**,CLPSL1,0
ICR_393^,chr6:39367315-39368095,P,KIF6,0
ICR_394^,chr6:41627093-41627387,P,MDFI,9631
ICR_395^,chr6:42727577-42727793,,ATP6V0CP3,0
ICR_396,chr6:57810795-57811153,,GUSBP4,97400
ICR_397*^,chr6:77368678-77369083,,HTR1B,91841
ICR_398,chr6:99823198-99823660,,MCHR2,94859
ICR_399^,chr6:104885426-104885717,,HACE1,25507
ICR_400*^,chr6:111662711-111663342,,FYN,0
ICR_401,chr6:112366898-112367109,,FEM1AP3,0
ICR_402,chr6:112367498-112367712,,FEM1AP3,231
ICR_403^,chr6:129172756-129173045,,LAMA2,0
ICR_404^#,chr6:144006941-144008825,M,PLAGL1|HYMAI,0
ICR_405,chr6:144186986-144187105,,STX11,0
ICR_406^,chr6:146803701-146803860,,ADGB|KATNBL1P6,0
ICR_407,chr6:149986298-149986661,P,BTF3P10,7609
ICR_408^,chr6:154359181-154360192,,IPCEF1,2415
ICR_409,chr6:160005401-160005610,M,IGF2R|AIRN,0
ICR_410^,chr6:160006184-160006584,M,IGF2R|AIRN,0
ICR_411^,chr6:163355423-163355849,,RPL37AP4,7349
ICR_412,chr6:166758163-166758556,,RPS6KA2,0
ICR_413,chr6:167196311-167197315,,TCP10L2,0
ICR_414^,chr6:167341434-167342866,P,TTLL2,0
ICR_415^,chr6:167349763-167350130,,TTLL2,7053
ICR_416^,chr6:167667943-167668201,P,LINC02538,0
ICR_417^,chr6:168035599-168035887,,KIF25,0
ICR_418*,chr6:168417326-168417653,P,SMOC2,23500
ICR_419,chr6:168638540-168638869,,SMOC2,0
ICR_420*^,chr6:169421049-169421128,P,WDR27,5292
ICR_421*^,chr6:169654761-169654900,,WDR27,0
ICR_422^,chr6:170286029-170286332,,DLL1,0
ICR_423*^,chr6:170423032-170423404,,FAM120B,15284
ICR_424*^,chr7:31403-31557,M**,FOXL3,258613
ICR_425,chr7:291320-291450,,FOXL3,0
ICR_426^,chr7:343522-343641,P,FOXL3,52034
ICR_427^,chr7:360518-360693,P,FOXL3,69030
ICR_428,chr7:421345-421408,,PDGFA,75837
ICR_429,chr7:1041228-1041314,,C7orf50,0
ICR_430^,chr7:1159057-1159224,,ZFAND2A,0
ICR_431^,chr7:1592600-1592972,,TFAMP1,21498
ICR_432,chr7:1663342-1663514,M,ELFN1,2561
ICR_433,chr7:1854262-1854393,,MAD1L1,0
ICR_434*^,chr7:2019844-2020175,,MAD1L1,0
ICR_435^,chr7:2665066-2665200,M**,TTYH3,264
ICR_436*^,chr7:3089399-3089604,P,CARD11,45532
ICR_437^,chr7:4101908-4102617,,SDK1,0
ICR_438*^,chr7:4739360-4739913,,FOXK1,0
ICR_439*^,chr7:5144439-5144757,M,ZNF890P,0
ICR_440^,chr7:16464182-16464644,,SOSTDC1,0
ICR_441,chr7:19194875-19195144,,FERD3L,49454
ICR_442^,chr7:22821364-22821611,,TOMM7,0
ICR_443^,chr7:23490490-23491453,M,RPS2P32,0
ICR_444,chr7:25866370-25866563,,MIR148A,83356
ICR_445^,chr7:26593585-26593990,,LINC02860,43881
ICR_446*^,chr7:28529301-28530933,,CREB5,0
ICR_447,chr7:32763314-32763459,,LINC00997,390
ICR_448^,chr7:32905942-32906069,,RP9P,10746
ICR_449,chr7:34905972-34906557,,DPY19L1,22324
ICR_450,chr7:39834493-39834768,M,SSBP3P1,0
ICR_451^,chr7:41990814-41991507,P,GLI3,0
ICR_452^,chr7:45564015-45564354,P,ADCY1,9786
ICR_453^,chr7:47576623-47576932,P,TNS3,0
ICR_454*^#,chr7:50781638-50783354,M,GRB10,0
ICR_455,chr7:55005217-55005455,,EGFR,13562
ICR_456^,chr7:55774811-55775090,,PSPHP1,1128
ICR_457,chr7:56508815-56510506,P**,NMD3P2,5778
ICR_458,chr7:56605244-56605356,,TRIM60P16,26380
ICR_459,chr7:57325717-57326749,,MIR3147,78276
ICR_460,chr7:57424516-57424553,M**,SAPCD2P2,0
ICR_461,chr7:58074538-58076031,,BSNDP4,435426
ICR_462,chr7:60945007-60945409,,VN1R34P,1.00E+08
ICR_463,chr7:61084697-61086368,,VN1R34P,1.00E+08
ICR_464,chr7:62276176-62276296,,VN1R34P,1.00E+08
ICR_465,chr7:62379353-62379440,,VN1R34P,1.00E+08
ICR_466,chr7:62379749-62379858,,VN1R34P,1.00E+08
ICR_467,chr7:63931261-63931288,,SLC25A1P3,0
ICR_468^,chr7:67772905-67773321,P,MTCO3P41,144556
ICR_469,chr7:69233760-69233973,P,MTCO2P25,96725
ICR_470^,chr7:73330191-73330782,,FKBP6,0
